country,field,coverage_rate,n_records_total,n_records_available,n_records_missing,missingness_type,imputation_method
UA,ocid,1.00,2500000,2500000,0,none,none
UA,contract_id,1.00,2500000,2500000,0,none,none
UA,value_local,0.98,2500000,2450000,50000,MAR,median_by_sector
UA,value_usd,0.98,2500000,2450000,50000,MAR,exchange_rate_conversion
UA,n_bidders,0.95,2500000,2375000,125000,MAR,mode_by_method
UA,cpv_code,0.99,2500000,2475000,25000,MCAR,none
UA,buyer_id,1.00,2500000,2500000,0,none,none
UA,buyer_name,1.00,2500000,2500000,0,none,none
UA,supplier_id,0.97,2500000,2425000,75000,MAR,entity_resolution
UA,supplier_name,0.99,2500000,2475000,25000,MCAR,none
UA,tender_date,0.98,2500000,2450000,50000,MAR,contract_date_minus_30
UA,award_date,0.99,2500000,2475000,25000,MCAR,none
UA,procurement_method,1.00,2500000,2500000,0,none,none
CO,ocid,1.00,1800000,1800000,0,none,none
CO,contract_id,1.00,1800000,1800000,0,none,none
CO,value_local,0.95,1800000,1710000,90000,MAR,median_by_sector
CO,value_usd,0.95,1800000,1710000,90000,MAR,exchange_rate_conversion
CO,n_bidders,0.72,1800000,1296000,504000,MAR,reconstruct_from_bids
CO,cpv_code,0.88,1800000,1584000,216000,MAR,unspsc_to_cpv_mapping
CO,buyer_id,1.00,1800000,1800000,0,none,none
CO,buyer_name,1.00,1800000,1800000,0,none,none
CO,supplier_id,0.70,1800000,1260000,540000,MAR,entity_resolution
CO,supplier_name,0.98,1800000,1764000,36000,MCAR,none
CO,tender_date,0.92,1800000,1656000,144000,MAR,contract_date_minus_45
CO,award_date,0.96,1800000,1728000,72000,MCAR,none
CO,procurement_method,1.00,1800000,1800000,0,none,none
GB,ocid,1.00,850000,850000,0,none,none
GB,contract_id,1.00,850000,850000,0,none,none
GB,value_local,0.72,850000,612000,238000,MAR,excluded_from_value_analysis
GB,value_usd,0.72,850000,612000,238000,MAR,exchange_rate_conversion
GB,n_bidders,0.45,850000,382500,467500,MNAR,excluded_from_competition_analysis
GB,cpv_code,0.95,850000,807500,42500,MAR,keyword_mapping
GB,buyer_id,1.00,850000,850000,0,none,none
GB,buyer_name,1.00,850000,850000,0,none,none
GB,supplier_id,0.42,850000,357000,493000,MNAR,companies_house_lookup
GB,supplier_name,0.98,850000,833000,17000,MCAR,none
GB,tender_date,0.88,850000,748000,102000,MAR,publication_date
GB,award_date,0.92,850000,782000,68000,MCAR,none
GB,procurement_method,1.00,850000,850000,0,none,none
