country,year,n_contracts,pct_complete,pct_with_value,pct_with_bidders,pct_with_cpv,pct_with_supplier_id
UA,2016,180000,0.92,0.95,0.88,0.97,0.94
UA,2017,320000,0.94,0.96,0.92,0.98,0.96
UA,2018,450000,0.96,0.97,0.94,0.99,0.97
UA,2019,520000,0.97,0.98,0.95,0.99,0.97
UA,2020,485000,0.96,0.97,0.94,0.99,0.97
UA,2021,545000,0.97,0.98,0.96,0.99,0.98
CO,2012,85000,0.82,0.88,0.58,0.82,0.62
CO,2013,120000,0.85,0.90,0.62,0.84,0.65
CO,2014,145000,0.87,0.92,0.65,0.86,0.68
CO,2015,165000,0.88,0.93,0.68,0.87,0.70
CO,2016,195000,0.90,0.94,0.70,0.88,0.72
CO,2017,225000,0.92,0.95,0.72,0.89,0.74
CO,2018,255000,0.93,0.96,0.74,0.90,0.75
CO,2019,285000,0.94,0.96,0.76,0.91,0.76
CO,2020,265000,0.93,0.95,0.74,0.90,0.74
CO,2021,295000,0.95,0.97,0.78,0.92,0.78
GB,2015,65000,0.72,0.68,0.38,0.92,0.38
GB,2016,85000,0.74,0.70,0.40,0.93,0.40
GB,2017,105000,0.76,0.72,0.42,0.94,0.42
GB,2018,125000,0.78,0.73,0.44,0.95,0.44
GB,2019,145000,0.80,0.74,0.46,0.96,0.45
GB,2020,155000,0.79,0.73,0.45,0.95,0.44
GB,2021,170000,0.82,0.76,0.48,0.96,0.46
