country_code,country,main activity sector name,ETS information,year,value,unit
FI,Finland,43 Production of hydrogen and synthesis gas,2.1 EU-ETS Verified Emission,2013,0,tonne of CO2 equ.
FI,Finland,43 Production of hydrogen and synthesis gas,2.1 EU-ETS Verified Emission,2014,0,tonne of CO2 equ.
FI,Finland,43 Production of hydrogen and synthesis gas,2.1 EU-ETS Verified Emission,2018,0,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1 Freely allocated allowances,2005,116435,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1 Freely allocated allowances,2013,85780,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1 Freely allocated allowances,2014,73596,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1 Freely allocated allowances,2015,42036,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1 Freely allocated allowances,2018,22124,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1.1 Free allocation to existing entities (Art. 10a(1)),2009,117205,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1.1 Free allocation to existing entities (Art. 10a(1)),2016,28090,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1.1 Free allocation to existing entities (Art. 10a(1)),2019,19231,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1.1 Free allocation to existing entities (Art. 10a(1)),2023,20319,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1.1 Free allocation to existing entities (Art. 10a(1)),2024,18476,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2016,0,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2020,0,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,2. Verified emissions,2006,71952,tonne of CO2 equ.
FI,Finland,99 Other activity opted-in under Art. 24,2. Verified emissions,2015,42618,tonne of CO2 equ.
