AF,Trimestre,Nbre de contrats attribu�s,% des march�s r�serv�s aux Autochtones*,Nbre de modifications de contrats,% de dossier de source unique,% de dossiers concurrentiels
2018/19,T1,112,S/O,25,34%,66%
,T2,164,S/O,24,24%,76%
,T3,191,S/O,20,26%,74%
,T4,231,S/O,14,30%,70%
2019/20,T1,107,S/O,24,38%,62%
,T2,142,S/O,33,26%,74%
,T3,187,S/O,28,35%,65%
,T4,196,S/O,58,35%,65%
2020/21,T1,58,S/O,20,44%,56%
,T2,107,S/O,27,41%,59%
,T3,154,S/O,55,37%,63%
,T4,155,S/O,42,48%,52%
2021/22,T1,83,S/O,8,64%,36%
,T2,90,S/O,7,43%,57%
,T3,155,S/O,17,51%,49%
,T4,159,S/O,35,48%,52%
2022/23,T1,120,S/O,33,65%,35%
,T2,143,S/O,16,61%,39%
,T3,254,S/O,22,44%,56%
,T4,191,S/O,27,59%,41%
*Information  non disponible avant Exercice financier�2024-2025,,,,,,

