ID Licitaci�n;Fecha del Acta;Descripci�n compra o servicio;Enlace al texto �ntegro del acta
4689-25-LE25;01-01-2026;MEJORAMIENTO INFRAESTRUCTURA ESCUELA SANTA ROSA DE LAVADEROS;https://drive.google.com/file/d/12mT-uGMZ_Lqn84oW9VD7k4Nvlq6Oo8sH/view?usp=sharing
3880-2-LE26;30-01-2026;ELABORACION PLAN MUNICIPAL DE CULTURA 2026-2029;https://drive.google.com/file/d/1SLtYoPyrgWQosrYOp4yoHxRC9da2Hgx9/view?usp=sharing
3880-3-LE26;29-01-2026;SERVICIO DE ARRIENDO DE BODEGA PARA LA ADMINISTRACI�N MUNICIPAL;https://drive.google.com/file/d/1kREpcdpjpYeDl5n_kvOekaY5W-3cKNGq/view?usp=sharing
3880-126-LE25;08-02-2026;REMODELACION BA�OS MUNICIPALES SEGUN BASES;https://drive.google.com/file/d/1bVbLj0T4eM0qWzauUTwd40HF6vLW27mc/view?usp=sharing
3880-128-LE25;08-02-2026;CONSTRUCCION CENTRO COMUNITARIO CLUB ADULTO MAYOR;https://drive.google.com/file/d/19Cw-2SgrA-M15H6QE52zGbeqlnRUXDyX/view?usp=sharing
3880-129-LE25;14-02-2026;ADQUISICION DE ELEMENTOS DE PROTECCION PERSONAL;https://drive.google.com/file/d/1_7GeXxe0Myia-_ObL_s78jH98Rn6v1XC/view?usp=sharing
3880-4-LE26;27-02-2026;PLAN NACIONAL DE ESTERILIZACIONES RESPONSABILIDAD COMPARTIDA;https://drive.google.com/file/d/1IhcYf7Cvl5KV--4HfxZLV9CoBq63-yTV/view?usp=sharing
3880-5-LE26;20-02-2026;MANTENCION RADIOS MOVILES Y BASES POR 11 MESES, SEGURIDAD PUBLICA;https://drive.google.com/file/d/1EKT-XjKpQA1RGB5p_T9pa47QEVUTgD62/view?usp=sharing
3880-6-LE26;10-02-2026; SERVICIO DE ARRIENDO DE 10 CONTENEDORES O MODULOS TIPO OFICINA MAS TRASLADOS, OFICINA PERMISOS DE CIRCULACION, TRANSITO;https://drive.google.com/file/d/1syqyG5DGeUY9qed8J7m0GRceaD0Wf0yH/view?usp=sharing
4689-3-LE26;01-02-2026;MATERIALES DE FERRETER�A Y CONSTRUCCI�N PARA DEPARTAMENTO DE EDUCACI�N;https://drive.google.com/file/d/1Pf45bUPSWKhtMtUEF4mNCdow426jyFjh/view?usp=sharing

