Región,Ciudad,Tipo,Dirección,Latitud,Longitud,Y,X
XV,ARICA,Oficina Comercial,"Magallanes N°1569, Villa Magisterio","18º 29' 9,17""  S","70º 18' 19,57""  W",-18.4858805555556,-70.3054361111111
XV,ARICA,Poder de compra,Poder de Compra Pampa Camarones. 80 Km. al Sur de Arica,"18º 51' 44,66""  S","70º 12' 58,61""  W",-18.8624055555556,-70.2162805555556
II,TOCOPILLA,Oficina Comercial,21 de Mayo N° 1348,"22º 5' 42,98""  S","70º 12' 12,66""  W",-22.0952722222222,-70.2035166666667
II,TOCOPILLA,Poder de compra,"Planta Barriles. Barrio Industrial Tocopilla, Km. 17 de la Ruta B-129, cruce camino Manto de la Luna","22º 9' 00,12""  S","70º 4' 55,84""  W",-22.1500333333333,-70.0821777777778
II,ANTOFAGASTA,Oficina Comercial,San Martín N° 2383,"23º 38' 55,33""  S","70º 23' 59,96""  W",-23.6487027777778,-70.3999888888889
II,ANTOFAGASTA,Poder de compra,Poder de Compra Mantos Blancos. Ruta 5 Norte Km. 1412,"23º 26' 12,04""  S","70º 4' 55,34""  W",-23.4366777777778,-70.0820388888889
II,TALTAL,Poder de compra,Planta Taltal. Avenida Matta N°2235,"25º 23' 55,06""  S","70º 28' 22,37""  W",-25.3986277777778,-70.4728805555556
III,EL SALADO,Poder de compra,Planta Salado. Condell S/N°,"26°25' 14,90"" S","70°19'5,24""  W",-26.4208055555556,-70.3181222222222
III,COPIAPO,Poder de compra,Fundición Paipote. Camino Público S/N° - Localidad de Paipote,"27º 25' 15,24""  S","70º 15' 34,81""  W",-27.4209000000000,-70.2596694444444
III,COPIAPO,Oficina Comercial,"Seremia de Salud Atacama. Rodríguez Nº 605, Piso 2, esquina Chacabuco","27º 21' 53,3""  S","70º 19' 52,52""  W",-27.3648055555556,-70.3312555555556
III,COPIAPO,Oficina Comercial,Seremia de Medio Ambiente. Yerbas Buenas N° 297,"27º 21' 56,76""  S","70º 20' 11,04""  W",-27.3657666666667,-70.3364000000000
III,COPIAPO,Oficina Comercial,Ilustre Municipalidad de Copiapó. Chacabuco N° 794,"27º 21' 47""  S","70º 19' 45,97""  W",-27.3630555555556,-703294361111111
III,COPIAPO,Oficina Comercial,Colipí N°260,"27º 22' 7,52""  S","70º 20' 0,17""  W",-27.3687555555556,-70.3333805555556
IV,VALLENAR,Poder de compra,Planta Vallenar. Altiplano Norte S/N°,"28º 33' 55,03""  S","70º 44' 31,66""  W",-28.5652861111111,-70.7421277777778
IV,LA SERENA,Oficina Comercial,Eduardo de la Barra N°205,"29º 54' 16,56""  S","71º 15' 14,02""  W",-29.9046000000000,-71.2538944444444
IV,COQUIMBO,Oficina Comercial,Profesor Zepeda S/N°,"29º 57' 59,54""  S","71º 20' 59,7""  W",-29.9665388888889,-71.3499166666667
IV,OVALLE,Poder de compra,"Planta Delta. Parcelación Flor del Norte, Quebrada Rincón del Sauce S/N°","30º 29' 36,94""  S","71º 13' 5,74""  W",-30.4935944444444,-71.2182611111111
IV,OVALLE,Oficina Comercial,Arauco N° 717,"30º 35' 37,81""  S","71º 10' 41,12""  W",-30.5938361111111,-71.1780888888889
IV,OVALLE,Poder de compra,Planta Ovalle (Plan de cierre). Planta La Cocinera S/N°,"30º 33' 1,86""  S","71º 10' 44,03""  W",-30.5505166666667,-71.1788972222222
IV,ILLAPEL,Oficina Comercial,Buin N° 105,"31º 38' 0,68""  S","71º 10' 1,17""  W",-31.6335222222222,-71.1669916666667
IV,ILLAPEL,Poder de compra,"Planta Portezuelo S/N°, a 8 Km. NE de Illapel","31º 35' 59,07""  S","71º 7' 30,82""  W",-31.5997416666667,-71.1252277777778
V,CABILDO,Oficina Comercial,Avda. Humeres N°1620,"32º 25' 51,58""  S","71º 4' 30,51""  W",-32.4309944444444,-71.0751416666667
V,QUINTERO,Poder de compra,"Camino Publico S/N°, Puchuncaví, Interior Refinería Ventanas","32º 45' 54,02""  S","71º 28' 57,18""  W",-32.7650055555556,-71.4825500000000
V,CATEMU,Oficina Comercial,"Isabel Riquelme N°81, Catemu","32º 46' 38,73""  S","70º 57' 42,67""  W",-32.7774250000000,-70.9618527777778
RM,SANTIAGO,Oficina Comercial,Mc Iver N°459 Piso 9,"33º 26' 14,43""  S","70º 38' 49,37""  W",-33.4373416666667,-70.6470472222222
VI,RANCAGUA,Oficina Comercial,Sargento José Bernardo Cáceres N°285,"34º 10' 1,54""  S","70º 44' 18,55""  W",-34.1670944444444,-70.7384861111111

