geo_code,geo_name,year,intermediate_consumption_mio_eur
EU27_2020,European Union - 27 countries (from 2020),2012,663826.5
EU27_2020,European Union - 27 countries (from 2020),2013,674658.0
EU27_2020,European Union - 27 countries (from 2020),2014,685546.1
EU27_2020,European Union - 27 countries (from 2020),2015,700360.2
EU27_2020,European Union - 27 countries (from 2020),2016,717871.3
EU27_2020,European Union - 27 countries (from 2020),2017,742024.5
EU27_2020,European Union - 27 countries (from 2020),2018,767453.6
EU27_2020,European Union - 27 countries (from 2020),2019,800637.6
EU27_2020,European Union - 27 countries (from 2020),2020,840617.0
EU27_2020,European Union - 27 countries (from 2020),2021,914211.9
EU27_2020,European Union - 27 countries (from 2020),2022,986381.3
EU27_2020,European Union - 27 countries (from 2020),2023,1048588.4
BE,Belgium,2012,16525.6
BE,Belgium,2013,16431.5
BE,Belgium,2014,17039.0
BE,Belgium,2015,16941.3
BE,Belgium,2016,17463.1
BE,Belgium,2017,17888.3
BE,Belgium,2018,19070.1
BE,Belgium,2019,19678.6
BE,Belgium,2020,19903.1
BE,Belgium,2021,21376.1
BE,Belgium,2022,23961.2
BE,Belgium,2023,25369.2
BG,Bulgaria,2012,2254.8
BG,Bulgaria,2013,2386.9
BG,Bulgaria,2014,2349.1
BG,Bulgaria,2015,2383.2
BG,Bulgaria,2016,2326.5
BG,Bulgaria,2017,2517.9
BG,Bulgaria,2018,2708.1
BG,Bulgaria,2019,2801.4
BG,Bulgaria,2020,3172.8
BG,Bulgaria,2021,3690.9
BG,Bulgaria,2022,4446.3
BG,Bulgaria,2023,4604.4
CZ,Czechia,2012,10308.7
CZ,Czechia,2013,10390.0
CZ,Czechia,2014,9952.0
CZ,Czechia,2015,10393.2
CZ,Czechia,2016,10781.6
CZ,Czechia,2017,11260.8
CZ,Czechia,2018,12646.3
CZ,Czechia,2019,13210.7
CZ,Czechia,2020,13082.9
CZ,Czechia,2021,13819.1
CZ,Czechia,2022,16046.6
CZ,Czechia,2023,17934.3
DK,Denmark,2012,23954.1
DK,Denmark,2013,23926.8
DK,Denmark,2014,24320.7
DK,Denmark,2015,24546.1
DK,Denmark,2016,24988.3
DK,Denmark,2017,25723.5
DK,Denmark,2018,26255.5
DK,Denmark,2019,26397.2
DK,Denmark,2020,27656.9
DK,Denmark,2021,29427.3
DK,Denmark,2022,30358.4
DK,Denmark,2023,30548.8
DE,Germany,2012,145499.0
DE,Germany,2013,151856.0
DE,Germany,2014,157080.0
DE,Germany,2015,163692.0
DE,Germany,2016,173672.0
DE,Germany,2017,181054.0
DE,Germany,2018,188173.0
DE,Germany,2019,199498.0
DE,Germany,2020,226880.0
DE,Germany,2021,243732.0
DE,Germany,2022,257101.0
DE,Germany,2023,265841.0
EE,Estonia,2012,1173.0
EE,Estonia,2013,1236.8
EE,Estonia,2014,1313.6
EE,Estonia,2015,1371.7
EE,Estonia,2016,1468.5
EE,Estonia,2017,1572.4
EE,Estonia,2018,1664.1
EE,Estonia,2019,1837.5
EE,Estonia,2020,1755.9
EE,Estonia,2021,1970.0
EE,Estonia,2022,2269.8
EE,Estonia,2023,2459.5
IE,Ireland,2012,8719.4
IE,Ireland,2013,8307.6
IE,Ireland,2014,9011.0
IE,Ireland,2015,9559.6
IE,Ireland,2016,10082.9
IE,Ireland,2017,10448.1
IE,Ireland,2018,11213.2
IE,Ireland,2019,12425.6
IE,Ireland,2020,14628.9
IE,Ireland,2021,16072.9
IE,Ireland,2022,17300.3
IE,Ireland,2023,19243.1
EL,Greece,2012,9583.0
EL,Greece,2013,8586.0
EL,Greece,2014,8852.0
EL,Greece,2015,8897.0
EL,Greece,2016,9314.0
EL,Greece,2017,9403.0
EL,Greece,2018,8589.0
EL,Greece,2019,8750.0
EL,Greece,2020,9127.0
EL,Greece,2021,10509.0
EL,Greece,2022,11581.0
EL,Greece,2023,12341.0
ES,Spain,2012,58351.0
ES,Spain,2013,55632.0
ES,Spain,2014,56073.0
ES,Spain,2015,58330.0
ES,Spain,2016,58080.0
ES,Spain,2017,59203.0
ES,Spain,2018,61627.0
ES,Spain,2019,64416.0
ES,Spain,2020,66231.0
ES,Spain,2021,71270.0
ES,Spain,2022,79029.0
ES,Spain,2023,85551.0
FR,France,2012,111816.2
FR,France,2013,114111.0
FR,France,2014,113863.6
FR,France,2015,115582.8
FR,France,2016,116204.0
FR,France,2017,120636.0
FR,France,2018,122878.0
FR,France,2019,126711.6
FR,France,2020,126408.8
FR,France,2021,136081.3
FR,France,2022,145879.0
FR,France,2023,157695.6
HR,Croatia,2012,3671.0
HR,Croatia,2013,3690.6
HR,Croatia,2014,3780.7
HR,Croatia,2015,3784.3
HR,Croatia,2016,3923.0
HR,Croatia,2017,4095.4
HR,Croatia,2018,4292.5
HR,Croatia,2019,4699.6
HR,Croatia,2020,4435.8
HR,Croatia,2021,4915.8
HR,Croatia,2022,5258.1
HR,Croatia,2023,6083.8
IT,Italy,2012,91538.0
IT,Italy,2013,92708.0
IT,Italy,2014,91867.0
IT,Italy,2015,93266.0
IT,Italy,2016,96900.0
IT,Italy,2017,98765.0
IT,Italy,2018,100520.0
IT,Italy,2019,101050.0
IT,Italy,2020,102351.0
IT,Italy,2021,111433.0
