country,nace,year,ghg_tht,gva_meur,intensity_kg_eur
AT,A,2012,8436.69616,4488.2,1.879750
AT,A,2013,8448.90325,4104.3,2.058549
AT,A,2014,8568.45199,4210.8,2.034875
AT,A,2015,8585.75679,3912.2,2.194611
AT,A,2016,8722.32736,4087.6,2.133851
AT,A,2017,8650.43373,4407.2,1.962796
AT,A,2018,8530.30256,4250.5,2.006894
AT,A,2019,8421.72046,4133.7,2.037332
AT,A,2020,8394.07196,4074.7,2.060047
AT,A,2021,8461.38173,4936.7,1.713975
AT,A,2022,8411.20523,6050.9,1.390075
AT,A,2023,8270.81375,5933.6,1.393895
AT,A01,2012,8317.56673,3074.0,2.705780
AT,A01,2013,8326.29441,2847.5,2.924072
AT,A01,2014,8446.08565,2823.0,2.991883
AT,A01,2015,8461.64406,2754.1,3.072381
AT,A01,2016,8594.42626,2895.6,2.968099
AT,A01,2017,8523.03894,3255.3,2.618204
AT,A01,2018,8407.18916,3154.3,2.665311
AT,A01,2019,8296.29427,3085.4,2.688888
AT,A01,2020,8274.76135,3173.0,2.607867
AT,A01,2021,8339.60951,3682.4,2.264721
AT,A01,2022,8290.49261,4501.2,1.841841
AT,A01,2023,8148.37605,4364.9,1.866796
AT,A02,2012,117.6827,1393.7,0.084439
AT,A02,2013,121.06967,1234.3,0.098088
AT,A02,2014,120.90968,1365.6,0.088540
AT,A02,2015,122.53623,1134.9,0.107971
AT,A02,2016,126.10479,1164.6,0.108282
AT,A02,2017,125.50285,1124.1,0.111647
AT,A02,2018,121.14073,1067.1,0.113523
AT,A02,2019,123.28237,1016.2,0.121317
AT,A02,2020,117.38498,866.0,0.135548
AT,A02,2021,119.29367,1220.4,0.097750
AT,A02,2022,118.20351,1512.3,0.078161
AT,A02,2023,119.96446,1531.5,0.078331
AT,A03,2012,1.44673,20.5,0.070572
AT,A03,2013,1.53917,22.6,0.068105
AT,A03,2014,1.45666,22.2,0.065615
AT,A03,2015,1.5765,23.1,0.068247
AT,A03,2016,1.79631,27.4,0.065559
AT,A03,2017,1.89193,27.9,0.067811
AT,A03,2018,1.97267,29.1,0.067789
AT,A03,2019,2.14381,32.1,0.066785
AT,A03,2020,1.92563,35.7,0.053939
AT,A03,2021,2.47855,33.9,0.073114
AT,A03,2022,2.50911,37.5,0.066910
AT,A03,2023,2.47323,37.2,0.066485
AT,B,2012,995.32531,1519.4,0.655078
AT,B,2013,845.64232,1487.4,0.568537
AT,B,2014,839.82399,1398.3,0.600604
AT,B,2015,777.43173,1186.8,0.655065
AT,B,2016,757.20132,1068.2,0.708857
AT,B,2017,818.83551,1199.7,0.682534
AT,B,2018,778.72706,1169.9,0.665636
AT,B,2019,664.79641,1059.3,0.627581
AT,B,2020,629.23433,758.7,0.829359
AT,B,2021,704.39196,980.7,0.718254
AT,B,2022,655.63563,1433.0,0.457527
AT,B,2023,576.61983,983.8,0.586115
AT,C,2012,26995.49242,54632.2,0.494132
AT,C,2013,26911.17214,54944.3,0.489790
AT,C,2014,26519.28742,56735.9,0.467416
AT,C,2015,27040.05054,58985.2,0.458421
AT,C,2016,26768.33445,62839.8,0.425977
AT,C,2017,27597.16188,64066.2,0.430760
AT,C,2018,26026.07595,66380.5,0.392074
AT,C,2019,27063.14192,67674.9,0.399899
AT,C,2020,25867.14827,63122.6,0.409792
AT,C,2021,27822.90578,68975.9,0.403371
AT,C,2022,26011.84059,74829.2,0.347616
AT,C,2023,24665.60319,76173.9,0.323806
AT,C10-C12,2012,1096.16655,5515.7,0.198736
AT,C10-C12,2013,941.68447,5365.5,0.175507
AT,C10-C12,2014,1039.21791,5764.6,0.180276
AT,C10-C12,2015,1086.04887,5937.3,0.182920
AT,C10-C12,2016,912.19468,6370.7,0.143186
AT,C10-C12,2017,901.43244,6471.4,0.139295
AT,C10-C12,2018,867.14672,6477.7,0.133866
AT,C10-C12,2019,858.61193,6888.7,0.124641
AT,C10-C12,2020,883.35761,7017.1,0.125886
AT,C10-C12,2021,895.1257,7397.4,0.121005
AT,C10-C12,2022,1001.65423,8531.8,0.117402
AT,C10-C12,2023,891.3251,9071.4,0.098257
AT,C13-C15,2012,113.84161,1038.4,0.109632
AT,C13-C15,2013,105.7762,1012.2,0.104501
AT,C13-C15,2014,83.33843,1043.7,0.079849
AT,C13-C15,2015,74.66902,1091.8,0.068391
AT,C13-C15,2016,93.87806,1038.5,0.090398
