year,gprd_sector,co2_kg,carbon_intensity_kg_per_usd
1995,OTHER,3.9414708934777284e+21,0.1
1996,OTHER,1.0614877722921925e+22,0.1
1997,OTHER,6.994343843093111e+21,0.1
1998,OTHER,2.5174472204431424e+21,0.1
1999,OTHER,4.4206210503134576e+41,0.1
2000,OTHER,5.103933064187718e+21,0.1
2001,OTHER,2.78567392120904e+21,0.1
2002,OTHER,3.8590895943350763e+21,0.1
2003,OTHER,4.1779393139975216e+21,0.1
2004,OTHER,6.901160742223411e+19,0.1
2005,OTHER,5.977978407744635e+21,0.1
2006,OTHER,3.000392154625043e+22,0.1
2007,OTHER,3.3101122868013215e+22,0.1
2008,OTHER,3.193969258217401e+22,0.1
2009,OTHER,2.851848302177373e+27,0.1
2010,OTHER,1.7887413698589427e+22,0.1
2011,OTHER,4.730143879589353e+22,0.1
2012,OTHER,1.9416194647806167e+22,0.1
2013,OTHER,3.309808985924407e+22,0.1
2014,OTHER,2.3454515394372807e+40,0.1
2015,OTHER,3.749831252511469e+41,0.1
2016,OTHER,2.6665306908230095e+22,0.1
2017,OTHER,5.646264701665217e+41,0.1
2018,OTHER,3.302121279678372e+22,0.1
2019,OTHER,1.2861304353358426e+41,0.1
2020,OTHER,4.814792534142026e+22,0.1
2021,OTHER,5.1951693932967355e+22,0.1
2022,OTHER,5.240729544443989e+44,0.1
