record_id,ocid,contract_id,data_source,country,country_name,buyer_region,is_oecd,tender_date,award_date,contract_date,year,month,quarter,year_month,time_to_award_days,value_local,currency_local,value_usd,value_eur,value_usd_2020,log_value_usd,estimated_value_usd,procurement_method,procurement_method_category,is_framework,is_emergency,is_above_threshold,n_bidders,single_bidder,competitive,hhi_buyer,hhi_sector,buyer_id,buyer_name,buyer_type,buyer_type_category,supplier_id,supplier_name,supplier_country,supplier_is_sme,supplier_is_foreign,cpv_code,cpv_division,cpv_group,cpv_class,cpv_description,sector,gprd_sector,carbon_intensity_kg_usd,carbon_footprint_kg,flag_missing_value,flag_missing_dates,flag_outlier_value,quality_score
OCDS_CO_37706958,ocds-k50g02-15-13-4490818,15-13-4490818,OCDS_CO,CO,Colombia,,True,2015-12-14 07:25:00,,,2015.0,12.0,4.0,2015-12,,17960332.0,COP,6554.865693430657,5958.968812209688,7406.998233576642,3.8165637975974973,6554.865693430657,open,OPEN,False,False,False,0.0,False,False,0.08387064076687523,0.036862282954036686,800099425,CHOCO - NUQUI - ALCALDIA,,OTHER,900272786,GESINTEG COLOMBIA LIMITADA,Colombia,False,False,721033,72,721,7210,,TECH,,,,False,True,False,0.7142857142857143
EU_TED_5886604,ocds-ted-eu-20162704,20162704-nan,EU_TED,SI,Slovenia,,True,,,,2016.0,,,NaT,,,EUR,,,,,,open,OPEN,True,,False,3.0,False,True,0.9998982334511768,,nan,OŠ Nove Fužine,Public undertaking,OTHER,nan,Impuls; Domžale; d.o.o.,SI,False,True,15000000.0,15,150,1500,,,,,,True,True,False,0.5714285714285714
EU_TED_32876031,ocds-ted-eu-2023489553,2023489553-1,EU_TED,FR,France,,True,,,,2023.0,8.0,3.0,NaT,,74111.17,EUR,80040.06360000001,74111.17,67233.653424,4.903307425055604,,open,OPEN,True,,False,76.0,False,True,0.9998982334511768,,nan,hopitaux universitaires de strasbourg,Utilities,OTHER,nan,medtronic france sas,FR,False,True,33141641,33,331,3314,,,,,,False,False,False,0.7142857142857143
OCDS_GB_45795181,ocds-b5fd17-1504bda1-f3ac-4227-9798-91461c8811da,tender_240789/1006469,OCDS_GB,GB,United Kingdom,,True,2021-11-09 18:09:31,,,2021.0,11.0,4.0,2021-11,,139847.0,GBP,192988.86,175444.41818181815,183339.417,5.285532240716789,192988.86,direct,DIRECT,False,False,True,0.0,False,False,0.02790239180073337,0.036862282954036686,GB-CFS-41559,Defra Network eTendering Portal,,OTHER,GB-COH-RC000151,Cranfield University,United Kingdom,False,False,73110000,73,731,7311,,TECH,,,,False,False,False,0.7142857142857143
EU_TED_32792845,ocds-ted-eu-2023434610,2023434610-48,EU_TED,PL,Poland,,True,,,,2023.0,7.0,3.0,NaT,,234900.91,EUR,253692.98280000003,234900.91,213102.10555200002,5.404308454713313,,open,OPEN,False,,True,,False,False,0.6135091123944276,,754-25-63-619,Uniwersytecki Szpital Kliniczny w Opolu,Utilities,OTHER,nan,nan,nan,False,True,50421000,50,504,5042,,,,,,False,True,False,0.5714285714285714
OCDS_CO_36225776,ocds-k50g02-13-13-2099855,13-13-2099855,OCDS_CO,CO,Colombia,,True,2013-11-18 12:00:00,,,2013.0,11.0,4.0,2013-11,,320000.0,COP,171.12299465240642,155.5663587749149,196.79144385026737,2.233308371783407,171.12299465240642,open,OPEN,False,False,False,0.0,False,False,0.02436493525160549,0.999512881969996,800215546,INSTITUTO NACIONAL PENITENCIARIO Y CARCELARIO - INPEC,,OTHER,43825523,OLGA NANCY MERY ZAPATA,Colombia,False,False,,,,,,OTHER,,,,False,True,False,0.5714285714285714
EU_TED_9976191,ocds-ted-eu-2018566204,2018566204-7,EU_TED,DK,Denmark,,True,,,,2018.0,12.0,4.0,NaT,,873339.64,EUR,1030540.7751999999,873339.64,1092373.221712,6.013065180097785,,open,OPEN,False,,True,,False,False,0.33083726302103716,,10866111,Vestforbrænding,EU institution,OTHER,nan,nan,nan,False,True,44921200,44,449,4492,,,,,,False,True,False,0.5714285714285714
OCDS_CO_34880714,ocds-k50g02-16-12-4637881,16-12-4637881,OCDS_CO,CO,Colombia,,True,2016-01-28 10:21:22,,,2016.0,1.0,1.0,2016-01,,2383333.0,COP,781.4206557377049,710.3824143070044,867.3769278688526,2.8928848869941413,781.4206557377049,direct,DIRECT,False,False,False,0.0,False,False,0.9999999961806603,0.03271454890460778,890980153,ANTIOQUIA - INSTITUTO TECNOLOGICO PASCUAL BRAVO INSTITUCION UNIVERSITARIA - MEDELLIN,,OTHER,71293930,JULIAN ANDRES AGUDELO VALENCIA,Colombia,False,False,801116,80,801,8011,,SERVICES,,,,False,True,False,0.7142857142857143
OCDS_CO_41389257,ocds-k50g02-19-12-9184365,19-12-9184365,OCDS_CO,CO,Colombia,,True,2019-03-19 21:02:30,,,2019.0,3.0,1.0,2019-03,,35013000.0,COP,10674.69512195122,9704.268292682926,11101.682926829268,4.028355480067549,10674.69512195122,direct,DIRECT,False,False,False,0.0,False,False,0.9945758351442421,0.03271454890460778,899999034,SERVICIO NACIONAL DE APRENDIZAJE - SENA,,OTHER,109490953,NATALIA MARIN CASTAÑO,Colombia,False,False,801116,80,801,8011,,SERVICES,,,,False,True,False,0.7142857142857143
OCDS_CO_36967646,ocds-k50g02-14-4-2726443,14-4-2726443,OCDS_CO,CO,Colombia,,True,2014-07-01 21:34:30,,,2014.0,7.0,3.0,2014-07,,12310000.0,COP,6155.0,5595.454545454545,6955.15,3.789228057267335,6155.0,open,OPEN,False,False,False,0.0,False,False,0.17507928758061214,0.999512881969996,834000110,ARAUCA - INSTITUCION EDUCATIVA ALEJANDRO HUMBOLDT,,OTHER,40048980,LINA YOHANA MeNDEZ CRISPiN,Colombia,False,False,,,,,,OTHER,,,,False,True,False,0.5714285714285714
