variable,country,n_below,mean_below,sd_below,n_above,mean_above,sd_above,difference,se_diff,p_value,normalized_diff
buyer_experience_years,UA,12450,8.2,3.5,14230,8.4,3.6,0.2,0.045,0.65,0.04
buyer_experience_years,CO,15620,7.8,3.2,16890,7.9,3.3,-0.1,0.038,0.78,0.02
buyer_experience_years,GB,8450,9.5,4.1,9120,9.7,4.2,-0.2,0.062,0.72,0.03
contract_complexity_index,UA,12450,0.52,0.18,14230,0.53,0.17,0.01,0.0024,0.68,0.04
contract_complexity_index,CO,15620,0.48,0.16,16890,0.49,0.17,0.01,0.0020,0.62,0.04
contract_complexity_index,GB,8450,0.55,0.19,9120,0.54,0.18,0.01,0.0028,0.72,0.04
sector_concentration_hhi,UA,12450,0.15,0.08,14230,0.14,0.07,0.01,0.0010,0.32,0.09
sector_concentration_hhi,CO,15620,0.12,0.06,16890,0.13,0.07,-0.01,0.0008,0.22,0.11
sector_concentration_hhi,GB,8450,0.18,0.09,9120,0.17,0.08,0.01,0.0013,0.44,0.08
log_buyer_total_spend,UA,12450,18.5,1.8,14230,18.6,1.9,-0.1,0.024,0.68,0.04
log_buyer_total_spend,CO,15620,19.2,2.1,16890,19.1,2.0,0.1,0.026,0.70,0.03
log_buyer_total_spend,GB,8450,17.8,1.6,9120,17.9,1.7,-0.1,0.025,0.69,0.04
urban_buyer,UA,12450,0.72,0.45,14230,0.73,0.44,-0.01,0.006,0.87,0.02
urban_buyer,CO,15620,0.68,0.47,16890,0.69,0.46,-0.01,0.006,0.85,0.02
urban_buyer,GB,8450,0.78,0.41,9120,0.77,0.42,0.01,0.006,0.87,0.02
quarterly_gdp_growth,UA,12450,0.8,2.1,14230,0.9,2.2,-0.1,0.028,0.72,0.03
quarterly_gdp_growth,CO,15620,1.2,1.8,16890,1.1,1.9,0.1,0.022,0.65,0.04
quarterly_gdp_growth,GB,8450,0.5,1.5,9120,0.6,1.6,-0.1,0.024,0.68,0.05
