country,country_name,year,value,indicator
CO,Colombia,2024,7913.98801464547,NY.GDP.PCAP.CD
CO,Colombia,2023,7000.83660501046,NY.GDP.PCAP.CD
CO,Colombia,2022,6680.44506854481,NY.GDP.PCAP.CD
CO,Colombia,2021,6222.62164397614,NY.GDP.PCAP.CD
CO,Colombia,2020,5339.68711357943,NY.GDP.PCAP.CD
CO,Colombia,2019,6472.54544924705,NY.GDP.PCAP.CD
CO,Colombia,2018,6816.96818309544,NY.GDP.PCAP.CD
CO,Colombia,2017,6479.53231292429,NY.GDP.PCAP.CD
CO,Colombia,2016,5959.84250367574,NY.GDP.PCAP.CD
CO,Colombia,2015,6248.51490534512,NY.GDP.PCAP.CD
CO,Colombia,2014,8187.20824890084,NY.GDP.PCAP.CD
CO,Colombia,2013,8279.10255642981,NY.GDP.PCAP.CD
CO,Colombia,2012,8108.59838244229,NY.GDP.PCAP.CD
CO,Colombia,2011,7400.9940695669,NY.GDP.PCAP.CD
CO,Colombia,2010,6398.2958447102,NY.GDP.PCAP.CD
GB,United Kingdom,2024,52636.7865943853,NY.GDP.PCAP.CD
GB,United Kingdom,2023,49200.8101526146,NY.GDP.PCAP.CD
GB,United Kingdom,2022,46062.9914079698,NY.GDP.PCAP.CD
GB,United Kingdom,2021,46926.475736105,NY.GDP.PCAP.CD
GB,United Kingdom,2020,40404.8062238951,NY.GDP.PCAP.CD
GB,United Kingdom,2019,42794.0022648288,NY.GDP.PCAP.CD
GB,United Kingdom,2018,43315.4874501318,NY.GDP.PCAP.CD
GB,United Kingdom,2017,40629.2340347345,NY.GDP.PCAP.CD
GB,United Kingdom,2016,40988.1044233026,NY.GDP.PCAP.CD
GB,United Kingdom,2015,44983.885522934,NY.GDP.PCAP.CD
GB,United Kingdom,2014,47426.6209829995,NY.GDP.PCAP.CD
GB,United Kingdom,2013,43419.0352598932,NY.GDP.PCAP.CD
GB,United Kingdom,2012,42490.1465463521,NY.GDP.PCAP.CD
GB,United Kingdom,2011,42109.6418795749,NY.GDP.PCAP.CD
GB,United Kingdom,2010,39598.957119545,NY.GDP.PCAP.CD
UA,Ukraine,2024,5389.47314453125,NY.GDP.PCAP.CD
UA,Ukraine,2023,5139.59814453125,NY.GDP.PCAP.CD
UA,Ukraine,2022,4199.6708984375,NY.GDP.PCAP.CD
UA,Ukraine,2021,4775.94580078125,NY.GDP.PCAP.CD
UA,Ukraine,2020,3709.76928710938,NY.GDP.PCAP.CD
UA,Ukraine,2019,3619.86157226563,NY.GDP.PCAP.CD
UA,Ukraine,2018,3059.0517578125,NY.GDP.PCAP.CD
UA,Ukraine,2017,2604.28759765625,NY.GDP.PCAP.CD
UA,Ukraine,2016,2158.46118164063,NY.GDP.PCAP.CD
UA,Ukraine,2015,2094.47387695313,NY.GDP.PCAP.CD
UA,Ukraine,2014,3054.908203125,NY.GDP.PCAP.CD
UA,Ukraine,2013,4129.89697265625,NY.GDP.PCAP.CD
UA,Ukraine,2012,3951.34228515625,NY.GDP.PCAP.CD
UA,Ukraine,2011,3656.69799804688,NY.GDP.PCAP.CD
UA,Ukraine,2010,3039.63232421875,NY.GDP.PCAP.CD
