year,quarter,country,n_contracts,total_value_usd,mean_value_usd,median_value_usd,n_bidders_mean,single_bidder_rate,competitive_rate,text_restrictiveness_mean
2018,Q1,UA,125000,2850000000,22800,8500,3.2,0.18,0.82,0.48
2018,Q2,UA,138000,3120000000,22608,8200,3.3,0.17,0.83,0.47
2018,Q3,UA,142000,3280000000,23098,8800,3.4,0.16,0.84,0.46
2018,Q4,UA,156000,3650000000,23397,9100,3.5,0.15,0.85,0.45
2019,Q1,UA,148000,3420000000,23108,8900,3.4,0.16,0.84,0.45
2019,Q2,UA,162000,3780000000,23333,9200,3.5,0.15,0.85,0.44
2019,Q3,UA,168000,3920000000,23333,9500,3.6,0.14,0.86,0.43
2019,Q4,UA,175000,4150000000,23714,9800,3.7,0.13,0.87,0.42
2020,Q1,UA,145000,3380000000,23310,9100,3.5,0.15,0.85,0.44
2020,Q2,UA,128000,2980000000,23281,8600,3.3,0.17,0.83,0.46
2020,Q3,UA,152000,3520000000,23157,9300,3.6,0.14,0.86,0.43
2020,Q4,UA,165000,3850000000,23333,9600,3.7,0.13,0.87,0.42
2018,Q1,CO,95000,1850000000,19473,6200,2.8,0.22,0.78,0.52
2018,Q2,CO,102000,2020000000,19803,6500,2.9,0.21,0.79,0.51
2018,Q3,CO,108000,2180000000,20185,6800,3.0,0.20,0.80,0.50
2018,Q4,CO,115000,2350000000,20434,7100,3.1,0.19,0.81,0.49
2019,Q1,CO,110000,2250000000,20454,6900,3.0,0.20,0.80,0.49
2019,Q2,CO,118000,2420000000,20508,7200,3.2,0.18,0.82,0.48
2019,Q3,CO,125000,2580000000,20640,7500,3.3,0.17,0.83,0.47
2019,Q4,CO,132000,2750000000,20833,7800,3.4,0.16,0.84,0.46
2020,Q1,CO,105000,2150000000,20476,6800,3.1,0.19,0.81,0.48
2020,Q2,CO,92000,1880000000,20434,6200,2.9,0.21,0.79,0.50
2020,Q3,CO,115000,2380000000,20695,7100,3.3,0.17,0.83,0.46
2020,Q4,CO,128000,2650000000,20703,7600,3.4,0.16,0.84,0.45
2018,Q1,GB,45000,1250000000,27777,12500,3.5,0.15,0.85,0.42
2018,Q2,GB,48000,1350000000,28125,13200,3.6,0.14,0.86,0.41
2018,Q3,GB,52000,1480000000,28461,13800,3.7,0.13,0.87,0.40
2018,Q4,GB,55000,1580000000,28727,14200,3.8,0.12,0.88,0.39
2019,Q1,GB,52000,1490000000,28653,13900,3.7,0.13,0.87,0.40
2019,Q2,GB,56000,1620000000,28928,14500,3.8,0.12,0.88,0.39
2019,Q3,GB,58000,1690000000,29137,14800,3.9,0.11,0.89,0.38
2019,Q4,GB,62000,1820000000,29354,15200,4.0,0.10,0.90,0.37
2020,Q1,GB,48000,1380000000,28750,13500,3.6,0.14,0.86,0.40
2020,Q2,GB,42000,1200000000,28571,12800,3.4,0.16,0.84,0.42
2020,Q3,GB,55000,1580000000,28727,14100,3.8,0.12,0.88,0.38
2020,Q4,GB,60000,1750000000,29166,14900,3.9,0.11,0.89,0.37
