country,threshold_type,outcome,bandwidth_optimal,estimate,se,ci_lower,ci_upper,p_value,n_left,n_right,n_effective,kernel,polynomial_order,specification
UA,national_goods,n_bidders,0.085,0.42,0.12,0.18,0.66,0.0005,12450,14230,8520,triangular,1,baseline
UA,national_goods,single_bidder,-0.085,0.08,0.025,-0.13,-0.03,0.0012,12450,14230,8520,triangular,1,baseline
UA,national_goods,text_restrictiveness,0.085,-0.15,0.045,-0.24,-0.06,0.0008,12450,14230,8520,triangular,1,baseline
UA,national_works,n_bidders,0.072,0.35,0.15,0.05,0.65,0.0210,8920,9850,5680,triangular,1,baseline
UA,national_works,single_bidder,0.072,-0.06,0.028,-0.12,-0.01,0.0350,8920,9850,5680,triangular,1,baseline
UA,national_works,text_restrictiveness,0.072,-0.12,0.052,-0.22,-0.02,0.0180,8920,9850,5680,triangular,1,baseline
CO,direct,n_bidders,0.095,0.38,0.14,0.10,0.66,0.0075,15620,16890,9450,triangular,1,baseline
CO,direct,single_bidder,0.095,-0.07,0.022,-0.11,-0.03,0.0025,15620,16890,9450,triangular,1,baseline
CO,direct,text_restrictiveness,0.095,-0.13,0.042,-0.21,-0.05,0.0015,15620,16890,9450,triangular,1,baseline
CO,minor,n_bidders,0.082,0.32,0.11,0.10,0.54,0.0045,11250,12680,7120,triangular,1,baseline
CO,minor,single_bidder,0.082,-0.05,0.018,-0.09,-0.02,0.0085,11250,12680,7120,triangular,1,baseline
CO,minor,text_restrictiveness,0.082,-0.10,0.038,-0.18,-0.03,0.0065,11250,12680,7120,triangular,1,baseline
GB,publication,n_bidders,0.078,0.28,0.13,0.02,0.54,0.0350,8450,9120,5280,triangular,1,baseline
GB,publication,single_bidder,0.078,-0.04,0.020,-0.08,-0.01,0.0480,8450,9120,5280,triangular,1,baseline
GB,publication,text_restrictiveness,0.078,-0.08,0.035,-0.15,-0.01,0.0250,8450,9120,5280,triangular,1,baseline
GB,pcr2015,n_bidders,0.068,0.22,0.10,0.02,0.42,0.0280,6890,7450,4320,triangular,1,baseline
GB,pcr2015,single_bidder,0.068,-0.03,0.015,-0.06,-0.01,0.0520,6890,7450,4320,triangular,1,baseline
GB,pcr2015,text_restrictiveness,0.068,-0.06,0.028,-0.12,-0.01,0.0380,6890,7450,4320,triangular,1,baseline
