country,rule_of_law_tercile,n_contracts,rd_estimate,rd_se,ci_lower,ci_upper,p_value,interaction_estimate,interaction_se,interaction_pvalue
UA,low,-0.72,450000,0.32,0.15,0.02,0.62,0.035,,
UA,medium,-0.72,520000,0.38,0.12,0.14,0.62,0.002,,
UA,high,-0.72,485000,0.48,0.14,0.20,0.76,0.001,,
CO,low,-0.28,380000,0.28,0.14,-0.01,0.57,0.058,,
CO,medium,-0.28,425000,0.35,0.11,0.13,0.57,0.002,,
CO,high,-0.28,395000,0.42,0.13,0.16,0.68,0.001,,
GB,low,1.55,185000,0.45,0.15,0.15,0.75,0.003,,
GB,medium,1.55,210000,0.52,0.14,0.24,0.80,0.001,,
GB,high,1.55,225000,0.58,0.16,0.26,0.90,0.001,,
pooled,low,,1015000,0.32,0.10,0.12,0.52,0.002,0.12,0.04,0.003
pooled,medium,,1155000,0.40,0.08,0.24,0.56,0.001,0.12,0.04,0.003
pooled,high,,1105000,0.48,0.10,0.28,0.68,0.001,0.12,0.04,0.003
