sector,n_contracts,n_contracts_pct,total_value_usd,value_pct,n_bidders_mean,single_bidder_rate,rd_estimate,rd_se,rd_pvalue,emission_intensity
CONSTRUCTION,1285000,25.0,45200000000,32.5,4.2,0.12,0.45,0.14,0.0015,1.85
HEALTH,925000,18.0,18500000000,13.3,3.5,0.16,0.38,0.11,0.0008,0.55
TECH,720000,14.0,21600000000,15.5,3.8,0.14,0.42,0.13,0.0012,0.42
ENERGY,515000,10.0,25750000000,18.5,3.2,0.18,0.32,0.15,0.0320,2.45
TRANSPORT,360000,7.0,10800000000,7.8,3.4,0.15,0.35,0.12,0.0045,1.25
SERVICES,310000,6.0,4650000000,3.3,3.6,0.14,0.40,0.14,0.0055,0.25
MANUFACTURING,258000,5.0,5160000000,3.7,3.3,0.17,0.33,0.16,0.0420,0.82
DEFENSE,206000,4.0,4120000000,3.0,2.8,0.22,0.28,0.18,0.1250,0.88
UTILITIES,155000,3.0,3100000000,2.2,3.0,0.20,0.30,0.17,0.0780,1.85
AGRICULTURE,103000,2.0,1030000000,0.7,3.1,0.19,0.32,0.19,0.0920,0.82
OTHER,308000,6.0,3080000000,2.2,3.2,0.18,0.34,0.18,0.0620,0.35
