country,ym,cpv_division,n,sb,ge3,sum_offers
BE,201601,98,25,0,1,51
NL,201601,45,25,0,25,125
BE,201601,35,24,24,0,24
BE,201601,73,170,48,96,628
BE,201601,79,313,48,217,1301
UK,201601,92,24,0,0,48
FR,201602,45,1068,157,682,4850
UK,201602,45,590,2,577,11376
DE,201601,39,86,0,60,354
PL,201602,45,46,7,32,234
CY,201602,45,3,0,3,19
UK,201602,50,161,5,141,1186
DE,201602,45,604,49,501,3947
DE,201602,98,8,2,6,33
DE,201602,44,57,8,46,333
UK,201602,33,311,10,293,9785
FR,201602,39,233,16,182,966
DE,201602,34,126,40,53,318
FR,201602,30,80,8,56,303
BG,201602,18,5,1,4,25
FR,201602,34,233,47,122,714
FR,201602,44,115,25,60,313
FR,201602,31,63,26,19,133
UK,201602,38,18,5,5,46
IT,201602,15,6,0,3,16
IE,201602,31,10,0,10,110
UK,201602,65,4,0,2,15
UK,201602,31,66,4,54,908
SE,201602,15,10,2,5,29
SE,201602,42,3,1,1,6
SE,201602,39,42,2,34,192
SE,201602,31,8,0,8,55
UK,201602,48,26,12,10,86
SE,201602,65,1,0,1,3
SE,201602,37,2,0,2,9
SE,201602,85,11,0,9,108
SE,201602,33,119,4,110,1624
ES,201602,15,10,1,7,27
EE,201602,34,6,1,0,11
BE,201602,14,4,2,0,6
UK,201602,39,40,3,35,255
FR,201602,35,51,17,26,138
RO,201602,34,17,6,0,28
RO,201602,33,1472,297,1030,16014
RO,201602,35,5,0,2,13
FR,201602,15,491,59,369,2430
ES,201602,44,33,4,28,172
BE,201602,33,69,23,30,196
FR,201602,18,45,9,21,131
NL,201602,24,7,0,5,27
NL,201602,42,16,0,14,68
BG,201602,33,348,87,203,3367
ES,201602,39,15,2,11,55
NL,201602,15,1,0,0,2
FR,201602,33,318,104,154,1166
ES,201601,33,14,2,7,36
BE,201602,22,5,0,3,13
FR,201602,55,28,3,15,90
GR,201602,15,63,17,29,180
FR,201602,16,1,1,0,1
IT,201602,33,405,131,215,1358
GR,201602,09,66,38,16,123
ES,201602,42,9,1,6,33
FR,201602,32,74,5,55,298
ES,201602,09,103,11,78,383
FR,201602,09,60,22,20,135
SI,201602,15,582,96,347,1732
SK,201602,09,43,28,12,89
SK,201602,33,108,35,57,346
BG,201602,30,69,21,37,206
NL,201602,34,49,7,24,139
IT,201602,39,3,1,2,17
PL,201602,30,82,23,28,210
IT,201602,38,33,10,12,75
PL,201602,09,130,63,54,315
PL,201602,33,7248,3530,2311,15895
PL,201602,32,29,10,12,84
LV,201602,22,1,1,0,1
PL,201602,15,55,28,13,100
LV,201602,33,512,117,124,1791
LV,201602,31,2,0,2,7
PL,201602,38,73,40,16,139
ES,201602,30,27,3,18,109
LV,201602,38,25,11,7,50
LT,201602,33,98,8,86,2634
LT,201602,30,253,1,251,3115
LT,201602,34,22,0,18,144
FR,201602,24,61,14,33,181
IT,201602,32,15,6,5,38
FI,201602,38,8,5,1,13
BG,201602,09,24,11,7,54
PL,201602,39,14,2,11,55
EE,201602,39,5,0,4,17
EE,201602,38,2,1,0,3
SK,201602,30,5,0,4,18
HR,201602,33,302,159,87,582
AT,201602,32,1,0,0,2
HR,201602,09,13,3,6,36
HR,201602,14,1,0,0,2
FR,201602,66,372,47,201,1088
FR,201602,77,106,4,91,791
SK,201602,77,46,5,21,131
BG,201602,71,150,37,85,753
UK,201602,75,25,1,24,196
FR,201602,79,310,50,222,1584
FR,201602,50,252,59,139,933
IT,201602,90,63,11,41,400
FR,201602,90,316,37,216,1401
UK,201602,80,52,4,42,754
UK,201602,79,204,5,193,3460
PL,201602,73,8,7,0,9
PL,201602,71,95,8,65,411
PL,201602,44,69,18,31,195
IE,201602,80,4,2,2,86
PL,201602,90,215,56,105,664
SE,201602,60,63,0,59,753
SE,201602,79,85,3,76,2799
SE,201602,90,24,3,17,88
SE,201602,50,6,1,2,19
NL,201602,79,130,21,92,882
SE,201602,72,33,2,29,287
UK,201602,85,723,19,646,38342
FR,201602,72,98,33,51,288
ES,201602,50,112,45,59,478
ES,201602,79,35,7,25,154
RO,201602,90,9,5,3,22
UK,201602,55,11,0,7,36
FR,201602,71,335,26,273,2151
UK,201602,90,223,0,208,2122
UK,201602,71,332,1,317,3588
ES,201602,66,34,15,11,71
ES,201602,55,35,2,33,1685
ES,201602,90,84,6,69,569
RO,201602,50,36,13,16,313
SE,201602,45,86,2,79,516
IE,201602,85,1,1,0,1
UK,201602,72,92,9,73,1813
FI,201602,71,14,1,12,68
ES,201602,72,54,14,25,210
ES,201602,71,38,2,36,384
FR,201602,48,22,7,15,70
BG,201602,50,52,11,37,674
NL,201602,66,113,0,104,788
ES,201602,63,5,2,3,17
BE,201602,45,154,4,149,646
SE,201602,73,1,1,0,1
BE,201602,90,48,0,33,214
NL,201602,90,79,12,50,308
UK,201602,64,7,0,5,30
SK,201602,72,10,9,0,11
DE,201602,90,277,25,216,1836
DE,201602,85,26,18,7,52
NL,201602,64,16,13,2,22
SK,201602,90,8,2,5,23
NL,201602,50,44,4,24,140
NL,201602,85,41,5,36,511
SK,201602,63,4,1,3,19
IT,201602,79,33,14,12,73
NL,201602,80,9,5,0,13
IT,201602,55,23,6,8,63
SK,201602,85,15,12,3,27
IT,201602,66,133,51,46,400
IT,201602,72,25,10,13,69
FR,201602,80,147,37,65,523
IT,201602,60,11,1,8,34
IT,201602,19,7,0,3,18
FR,201602,63,13,2,10,45
LT,201602,71,15,6,9,83
PL,201602,79,181,51,95,622
PL,201602,85,74,49,7,107
IT,201602,98,20,4,14,79
PL,201602,64,14,4,5,36
PL,201602,77,242,125,68,555
LT,201602,79,3,0,3,11
PL,201602,55,22,8,7,73
PL,201602,34,90,26,26,202
PL,201602,50,128,72,26,258
IT,201602,80,11,3,6,33
PL,201602,60,18,5,8,45
PL,201602,72,23,12,5,47
PL,201602,80,9,3,4,38
ES,201601,64,3,0,0,6
FR,201601,55,5,0,5,31
UK,201602,60,109,16,80,1206
SI,201602,50,25,6,17,82
UK,201602,35,56,3,53,393
EE,201602,66,1,1,0,1
HR,201602,64,5,3,0,7
BG,201602,79,57,5,40,286
HR,201602,72,8,4,4,17
SI,201602,48,1,0,0,2
HR,201602,60,8,2,6,20
DK,201602,66,41,16,22,124
DE,201602,79,126,14,96,1462
BG,201602,45,61,4,43,188
DE,201602,31,62,6,52,405
RO,201602,38,7,6,1,9
RO,201602,48,2,2,0,2
BG,201602,31,36,7,23,115
BG,201602,39,18,1,13,83
BG,201602,34,12,4,3,26
IT,201602,09,29,0,25,105
PL,201602,03,9,4,3,17
ES,201601,48,3,2,0,4
IT,201602,50,75,14,46,308
BE,201602,48,8,0,8,39
GR,201602,79,5,0,5,21
FI,201602,50,6,1,5,26
CY,201602,90,3,3,0,3
BG,201602,66,13,3,10,56
MK,201602,50,9,1,5,22
NO,201602,39,6,2,3,14
NO,201602,43,7,0,7,40
NO,201602,03,1,0,1,5
NO,201602,34,12,1,8,47
NO,201602,90,19,2,8,51
CH,201602,45,71,4,59,415
CH,201602,34,23,2,18,126
LU,201602,44,2,0,2,8
LU,201602,42,1,0,0,2
LU,201602,45,44,2,35,184
CZ,201602,45,33,20,13,142
ES,201602,45,36,1,32,524
EE,201602,45,2,0,2,28
AT,201602,45,59,0,56,333
BG,201602,44,4,1,3,10
GR,201602,33,21,7,14,207
UK,201602,30,105,4,99,1778
CY,201602,33,43,25,9,71
NL,201602,19,3,0,1,7
FR,201602,38,36,11,16,91
UK,201602,18,20,3,16,96
CZ,201602,15,4,4,0,4
BE,201602,38,39,1,38,198
CZ,201602,34,19,4,10,58
CZ,201602,18,3,1,1,6
CZ,201602,24,4,0,1,9
CZ,201602,14,7,2,1,13
DE,201601,38,7,5,1,10
DK,201602,33,19,3,13,59
NL,201602,30,33,1,26,130
ES,201602,33,135,40,81,833
UK,201602,44,71,3,56,328
NL,201602,39,26,4,20,176
NL,201602,44,10,1,8,34
NL,201602,35,16,1,14,55
NL,201602,18,6,1,5,34
PL,201602,48,31,18,7,64
ES,201602,32,6,0,4,34
BE,201602,30,141,28,90,610
GR,201602,03,13,6,1,21
DE,201602,30,50,16,29,162
HR,201602,35,20,1,19,125
ES,201602,16,2,1,0,3
DE,201602,65,13,3,9,47
DE,201602,33,122,38,63,432
DE,201602,09,46,5,40,263
HR,201602,03,2,2,0,2
RO,201602,30,15,4,7,39
RO,201602,65,6,4,2,22
DE,201602,48,29,13,13,85
ES,201601,09,5,0,2,16
DE,201602,32,22,4,15,63
AT,201602,37,16,0,12,48
CZ,201602,39,8,0,5,25
MT,201602,34,2,1,1,9
GR,201602,30,4,3,0,5
BG,201602,22,12,0,12,151
HR,201602,32,2,1,0,3
IE,201602,71,20,0,20,157
BG,201602,90,15,1,12,64
CZ,201602,50,20,8,6,43
IT,201602,65,8,4,1,19
IT,201602,92,5,2,2,10
IT,201602,48,7,5,2,16
IT,201602,30,11,4,7,36
UK,201602,34,152,4,127,1740
DE,201601,71,5,0,5,64
IT,201602,45,43,6,35,519
FR,201602,98,15,3,10,49
SK,201602,79,9,0,5,25
NL,201602,72,33,6,22,153
IE,201602,79,114,48,65,1538
LV,201602,90,18,3,11,58
NL,201602,77,16,4,10,67
NL,201602,71,172,2,170,6687
LV,201602,85,1,1,0,1
BE,201602,79,263,38,174,1155
CZ,201602,31,4,1,3,16
CZ,201602,79,22,3,18,132
BE,201602,50,21,9,8,46
ES,201602,60,185,61,86,554
PL,201602,66,47,15,13,112
EE,201602,85,17,4,10,48
BE,201602,66,55,2,23,141
EE,201602,79,8,0,7,56
EE,201602,72,12,4,4,28
RO,201602,72,6,6,0,6
RO,201602,77,10,2,3,22
AT,201602,80,11,5,4,21
EE,201602,80,4,2,1,10
DE,201602,71,178,19,150,979
RO,201602,79,33,12,17,142
AT,201602,48,3,1,2,7
AT,201602,72,5,2,3,14
ES,201601,71,39,0,38,241
IT,201602,85,52,17,21,197
LT,201602,72,6,4,2,13
DE,201602,72,45,17,25,210
UK,201602,42,32,4,26,237
AT,201602,60,1,0,1,19
AT,201602,64,2,0,0,4
AT,201602,90,40,32,6,70
AT,201602,66,2,0,2,9
CZ,201602,90,20,9,10,59
CZ,201602,60,4,0,3,11
