country,ymabs,sb_rate,comp3_rate,n,cohort,id
AT,24183,0.09016393442622951,0.7896174863387978,366,24209,1
AT,24184,0.05829596412556054,0.8295964125560538,223,24209,1
AT,24185,0.0856269113149847,0.7339449541284404,327,24209,1
AT,24186,0.2219679633867277,0.631578947368421,437,24209,1
AT,24187,0.1256544502617801,0.7382198952879581,191,24209,1
AT,24188,0.10393258426966293,0.8089887640449438,356,24209,1
AT,24189,0.11392405063291139,0.7257383966244726,237,24209,1
AT,24190,0.2826086956521739,0.5217391304347826,46,24209,1
AT,24191,0.26976744186046514,0.5488372093023256,215,24209,1
AT,24192,0.13382899628252787,0.7397769516728625,538,24209,1
AT,24193,0.22007722007722008,0.6756756756756757,259,24209,1
AT,24194,0.1162227602905569,0.7893462469733656,413,24209,1
AT,24195,0.09090909090909091,0.7892561983471075,242,24209,1
AT,24196,0.25263157894736843,0.6526315789473685,95,24209,1
AT,24197,0.04807692307692308,0.8269230769230769,104,24209,1
AT,24198,0.078125,0.75,64,24209,1
AT,24199,0.1095890410958904,0.7671232876712328,73,24209,1
AT,24200,0.07964601769911504,0.8053097345132744,113,24209,1
AT,24201,0.1724137931034483,0.6436781609195402,87,24209,1
AT,24202,0.15384615384615385,0.7514792899408284,169,24209,1
AT,24203,0.32599118942731276,0.2511013215859031,227,24209,1
AT,24204,0.14814814814814814,0.6851851851851852,270,24209,1
AT,24205,0.1111111111111111,0.6434108527131783,387,24209,1
AT,24206,0.19696969696969696,0.6628787878787878,264,24209,1
AT,24207,0.15508021390374332,0.7593582887700535,187,24209,1
AT,24209,0.21951219512195122,0.6655052264808362,287,24209,1
AT,24210,0.13043478260869565,0.7260869565217392,230,24209,1
AT,24211,0.13333333333333333,0.6888888888888889,45,24209,1
AT,24212,0.14181818181818182,0.6945454545454546,275,24209,1
AT,24213,0.10997442455242967,0.7161125319693095,391,24209,1
AT,24214,0.11057692307692307,0.6875,416,24209,1
AT,24215,0.2150101419878296,0.45841784989858014,493,24209,1
AT,24216,0.21103896103896103,0.6038961038961039,308,24209,1
AT,24217,0.18357487922705315,0.6521739130434783,207,24209,1
AT,24218,0.171021377672209,0.6888361045130641,421,24209,1
AT,24219,0.12830188679245283,0.7169811320754716,265,24209,1
AT,24220,0.14977973568281938,0.7048458149779736,227,24209,1
AT,24221,0.19607843137254902,0.6470588235294118,306,24209,1
AT,24222,0.15699658703071673,0.6621160409556314,293,24209,1
AT,24223,0.18076923076923077,0.5153846153846153,260,24209,1
AT,24224,0.22916666666666666,0.5763888888888888,288,24209,1
AT,24225,0.15246636771300448,0.6547085201793722,223,24209,1
AT,24226,0.15702479338842976,0.6473829201101928,363,24209,1
AT,24227,0.21515892420537897,0.5819070904645477,409,24209,1
AT,24228,0.17866004962779156,0.56575682382134,403,24209,1
AT,24229,0.3195402298850575,0.35402298850574715,1305,24209,1
AT,24230,0.24126984126984127,0.6095238095238096,315,24209,1
AT,24231,0.2491349480968858,0.5778546712802768,289,24209,1
AT,24232,0.1437908496732026,0.6830065359477124,306,24209,1
AT,24233,0.2798507462686567,0.5373134328358209,268,24209,1
AT,24234,0.25176470588235295,0.5647058823529412,425,24209,1
AT,24235,0.21428571428571427,0.5885714285714285,350,24209,1
AT,24236,0.19325153374233128,0.5674846625766872,326,24209,1
AT,24238,0.28921568627450983,0.5196078431372549,408,24209,1
AT,24240,0.2003012048192771,0.5316265060240963,664,24209,1
AT,24241,0.2939189189189189,0.46283783783783783,296,24209,1
AT,24242,0.22459893048128343,0.5828877005347594,374,24209,1
AT,24243,0.2492753623188406,0.5971014492753624,345,24209,1
AT,24244,0.37666666666666665,0.48,300,24209,1
AT,24245,0.2684729064039409,0.6133004926108374,406,24209,1
AT,24246,0.32653061224489793,0.5759637188208617,882,24209,1
AT,24247,0.1506276150627615,0.6799163179916318,478,24209,1
AT,24248,0.22016460905349794,0.654320987654321,486,24209,1
AT,24249,0.19957537154989385,0.6263269639065817,471,24209,1
AT,24250,0.3157894736842105,0.5357142857142857,532,24209,1
AT,24251,0.3752711496746204,0.48156182212581344,461,24209,1
BE,24182,0.14302461899179367,0.8229777256740914,853,24197,2
