country,ym,sb,n,sb_rate,cohort,id
AT,24183,16,80,0.2,24209,1
AT,24184,4,44,0.09090909090909091,24209,1
AT,24185,8,51,0.1568627450980392,24209,1
AT,24186,19,93,0.20430107526881722,24209,1
AT,24187,13,42,0.30952380952380953,24209,1
AT,24188,24,95,0.25263157894736843,24209,1
AT,24189,13,72,0.18055555555555555,24209,1
AT,24191,23,83,0.27710843373493976,24209,1
AT,24192,39,290,0.13448275862068965,24209,1
AT,24193,11,54,0.2037037037037037,24209,1
AT,24194,9,63,0.14285714285714285,24209,1
AT,24195,6,57,0.10526315789473684,24209,1
AT,24198,4,28,0.14285714285714285,24209,1
AT,24201,8,24,0.3333333333333333,24209,1
AT,24202,6,24,0.25,24209,1
AT,24203,62,129,0.4806201550387597,24209,1
AT,24204,20,78,0.2564102564102564,24209,1
AT,24205,14,52,0.2692307692307692,24209,1
AT,24206,20,73,0.273972602739726,24209,1
AT,24207,18,42,0.42857142857142855,24209,1
AT,24209,14,48,0.2916666666666667,24209,1
AT,24210,10,55,0.18181818181818182,24209,1
AT,24212,15,55,0.2727272727272727,24209,1
AT,24213,19,82,0.23170731707317074,24209,1
AT,24214,19,120,0.15833333333333333,24209,1
AT,24215,26,109,0.23853211009174313,24209,1
AT,24216,24,74,0.32432432432432434,24209,1
AT,24217,22,62,0.3548387096774194,24209,1
AT,24218,27,102,0.2647058823529412,24209,1
AT,24219,11,32,0.34375,24209,1
AT,24220,13,58,0.22413793103448276,24209,1
AT,24221,21,63,0.3333333333333333,24209,1
AT,24222,19,93,0.20430107526881722,24209,1
AT,24223,25,71,0.352112676056338,24209,1
AT,24224,14,103,0.13592233009708737,24209,1
AT,24225,17,58,0.29310344827586204,24209,1
AT,24226,19,114,0.16666666666666666,24209,1
AT,24227,27,128,0.2109375,24209,1
AT,24228,28,118,0.23728813559322035,24209,1
AT,24229,23,64,0.359375,24209,1
AT,24230,31,63,0.49206349206349204,24209,1
AT,24231,25,90,0.2777777777777778,24209,1
AT,24232,15,49,0.30612244897959184,24209,1
AT,24233,18,43,0.4186046511627907,24209,1
AT,24234,35,83,0.42168674698795183,24209,1
AT,24235,21,64,0.328125,24209,1
AT,24236,14,42,0.3333333333333333,24209,1
AT,24238,34,67,0.5074626865671642,24209,1
AT,24240,28,100,0.28,24209,1
AT,24241,31,79,0.3924050632911392,24209,1
AT,24242,19,81,0.2345679012345679,24209,1
AT,24243,40,82,0.4878048780487805,24209,1
AT,24244,47,84,0.5595238095238095,24209,1
AT,24245,50,84,0.5952380952380952,24209,1
AT,24246,109,205,0.5317073170731708,24209,1
AT,24247,16,113,0.1415929203539823,24209,1
AT,24248,36,108,0.3333333333333333,24209,1
AT,24249,44,110,0.4,24209,1
AT,24250,64,134,0.47761194029850745,24209,1
AT,24251,55,112,0.49107142857142855,24209,1
BE,24182,26,69,0.37681159420289856,24197,2
BE,24183,101,320,0.315625,24197,2
BE,24184,41,351,0.1168091168091168,24197,2
BE,24185,57,232,0.24568965517241378,24197,2
BE,24186,195,411,0.4744525547445255,24197,2
