country,sector,year,n_facilities,mean_emissions,std_emissions,cv,p10,p25,p50,p75,p90,p90_p10_ratio,p90_p50_ratio,p50_p10_ratio,gini,min,max
AT,Aircraft operator activities,2012,24,51140.541666666664,174806.76794987544,3.4181641854570786,185.60000000000002,506.0,895.5,6213.25,16133.3,86.92510775862067,18.015968732551645,4.82489224137931,-0.9119324701347241,21.0,828384.0
AT,Aircraft operator activities,2013,15,67827.26666666666,186458.71368517185,2.7490229644887925,561.2,1059.5,2944.0,9164.0,142712.99999999994,254.2997148966499,48.47588315217389,5.245901639344262,-0.8704146840978735,399.0,733862.0
AT,Aircraft operator activities,2014,16,64263.1875,178858.90517710417,2.78322492448891,577.5,819.25,3009.5,9558.25,133810.5,231.7064935064935,44.46270144542283,5.2112554112554115,-0.8737695254184209,457.0,716282.0
AT,Aircraft operator activities,2015,13,78653.0,197007.5998147514,2.504769046504919,326.40000000000003,1497.0,3758.0,9393.0,207716.40000000017,636.3860294117652,55.27312400212884,11.513480392156861,-0.856682076775398,51.0,720505.0
AT,Aircraft operator activities,2016,12,87114.33333333333,215168.41411102968,2.46995420705008,295.20000000000005,930.0,1923.5,8249.5,228881.2000000001,775.3428184281845,118.99204574993506,6.515921409214092,-0.858989431513375,81.0,763086.0
AT,Aircraft operator activities,2017,10,84901.1,244953.42828401076,2.88516200949117,52.0,458.25,2008.5,7906.75,90992.1999999997,1749.8499999999945,45.30355987055002,38.625,-0.8838216465982185,43.0,819688.0
AT,Aircraft operator activities,2018,10,124692.1,264551.63352527237,2.1216390896077004,496.3,2364.25,5605.0,39026.0,354448.6999999998,714.1823493854519,63.23794826048167,11.293572436026597,-0.8179563099827496,67.0,874529.0
AT,Aircraft operator activities,2019,11,346255.36363636365,664959.9049651958,1.9204320706596612,179.0,428.5,5209.0,310103.0,913486.0,5103.27374301676,175.3668650412747,29.100558659217878,-0.7960112752020143,174.0,2253798.0
AT,Aircraft operator activities,2020,10,123259.6,245990.2408642262,1.995708576567068,500.1,1735.0,9874.0,75705.25,322458.9999999998,644.7890421915613,32.65738302612921,19.744051189762047,-0.7937442600819734,357.0,822418.0
AT,Aircraft operator activities,2021,17,95034.41176470589,276834.8945301808,2.912996349318094,113.20000000000002,321.0,1015.0,10618.0,179385.60000000012,1584.678445229683,176.7345812807883,8.966431095406358,-0.8914527955544786,23.0,1139609.0
AT,Aircraft operator activities,2022,14,211570.42857142858,548438.722948115,2.5922276882043365,272.1,1007.5,9017.0,20425.25,551506.5000000007,2026.852260198459,61.162969945658276,33.138552002940095,-0.8686769620112992,4.0,2063094.0
