country,sector,year,median,p25,premium_pct,cv,gini
Austria,10 Aviation,2015.0,1022489.0,1022489.0,0.0,0.0,0.0
Austria,10 Aviation,2016.0,1045372.0,1045372.0,0.0,0.0,0.0
Austria,10 Aviation,2017.0,849011.0,849011.0,0.0,0.0,0.0
Austria,10 Aviation,2018.0,1246921.0,1246921.0,0.0,0.0,0.0
Austria,10 Aviation,2019.0,3808809.0,3808809.0,0.0,0.0,0.0
Austria,10 Aviation,2020.0,1197863.0,616298.0,48.55020983200917,0.6774385246048193,-0.3239404205973948
Austria,10 Aviation,2021.0,1566370.0,807792.5,48.429011025492066,0.6750540607362551,-0.3231791167492477
Austria,10 Aviation,2022.0,2869418.0,1480993.0,48.38698997497053,0.6742306911090551,-0.322915998477598
Austria,10 Aviation,2023.0,3105505.0,1604713.0,48.32682607176611,0.6730548195268202,-0.32254002221373335
Austria,20 Combustion of fuels,2015.0,7507737.0,7507737.0,0.0,0.0,0.0
Austria,20 Combustion of fuels,2016.0,7136550.0,7136550.0,0.0,0.0,0.0
Austria,20 Combustion of fuels,2017.0,7795277.0,7795277.0,0.0,0.0,0.0
Austria,20 Combustion of fuels,2018.0,7099673.0,7099673.0,0.0,0.0,0.0
Austria,20 Combustion of fuels,2019.0,7318748.0,7318748.0,0.0,0.0,0.0
Austria,20 Combustion of fuels,2020.0,5920008.0,5920008.0,0.0,0.0,0.0
Austria,20 Combustion of fuels,2021.0,5764796.0,5764796.0,0.0,0.0,0.0
Austria,20 Combustion of fuels,2022.0,5526573.0,5526573.0,0.0,0.0,0.0
Austria,20 Combustion of fuels,2023.0,4084161.0,4084161.0,0.0,0.0,0.0
Austria,20-99 All stationary installations,2015.0,29459819.0,29459819.0,0.0,0.0,0.0
Austria,20-99 All stationary installations,2016.0,28967793.0,28967793.0,0.0,0.0,0.0
Austria,20-99 All stationary installations,2017.0,30529853.0,30529853.0,0.0,0.0,0.0
Austria,20-99 All stationary installations,2018.0,28380243.0,28380243.0,0.0,0.0,0.0
Austria,20-99 All stationary installations,2019.0,29540448.0,29540448.0,0.0,0.0,0.0
Austria,20-99 All stationary installations,2020.0,27013522.0,27013522.0,0.0,0.0,0.0
Austria,20-99 All stationary installations,2021.0,28704509.0,28704509.0,0.0,0.0,0.0
Austria,20-99 All stationary installations,2022.0,26626257.0,26626257.0,0.0,0.0,0.0
Austria,20-99 All stationary installations,2023.0,24413630.0,24413630.0,0.0,0.0,0.0
Austria,21  Refining of mineral oil,2015.0,2804050.0,2804050.0,0.0,0.0,0.0
Austria,21  Refining of mineral oil,2016.0,2784461.0,2784461.0,0.0,0.0,0.0
Austria,21  Refining of mineral oil,2017.0,2738604.0,2738604.0,0.0,0.0,0.0
Austria,21  Refining of mineral oil,2018.0,2824369.0,2824369.0,0.0,0.0,0.0
Austria,21  Refining of mineral oil,2019.0,2791040.0,2791040.0,0.0,0.0,0.0
Austria,21  Refining of mineral oil,2020.0,2731772.0,2731772.0,0.0,0.0,0.0
Austria,21  Refining of mineral oil,2021.0,2749644.0,2749644.0,0.0,0.0,0.0
Austria,21  Refining of mineral oil,2022.0,2255065.0,2255065.0,0.0,0.0,0.0
Austria,21  Refining of mineral oil,2023.0,2579589.0,2579589.0,0.0,0.0,0.0
Austria,21-99 All industrial installations (excl. combustion),2015.0,21952082.0,21952082.0,0.0,0.0,0.0
Austria,21-99 All industrial installations (excl. combustion),2016.0,21831243.0,21831243.0,0.0,0.0,0.0
Austria,21-99 All industrial installations (excl. combustion),2017.0,22734576.0,22734576.0,0.0,0.0,0.0
Austria,21-99 All industrial installations (excl. combustion),2018.0,21280570.0,21280570.0,0.0,0.0,0.0
Austria,21-99 All industrial installations (excl. combustion),2019.0,22221700.0,22221700.0,0.0,0.0,0.0
Austria,21-99 All industrial installations (excl. combustion),2020.0,21093514.0,21093514.0,0.0,0.0,0.0
Austria,21-99 All industrial installations (excl. combustion),2021.0,22939713.0,22939713.0,0.0,0.0,0.0
Austria,21-99 All industrial installations (excl. combustion),2022.0,21099684.0,21099684.0,0.0,0.0,0.0
Austria,21-99 All industrial installations (excl. combustion),2023.0,20329469.0,20329469.0,0.0,0.0,0.0
Austria,24  Production of pig iron or steel,2015.0,11870296.0,11870296.0,0.0,0.0,0.0
Austria,24  Production of pig iron or steel,2016.0,11615716.0,11615716.0,0.0,0.0,0.0
Austria,24  Production of pig iron or steel,2017.0,12483149.0,12483149.0,0.0,0.0,0.0
Austria,24  Production of pig iron or steel,2018.0,10931695.0,10931695.0,0.0,0.0,0.0
Austria,24  Production of pig iron or steel,2019.0,11852236.0,11852236.0,0.0,0.0,0.0
Austria,24  Production of pig iron or steel,2020.0,10975189.0,10975189.0,0.0,0.0,0.0
Austria,24  Production of pig iron or steel,2021.0,12552097.0,12552097.0,0.0,0.0,0.0
Austria,24  Production of pig iron or steel,2022.0,11851704.0,11851704.0,0.0,0.0,0.0
Austria,24  Production of pig iron or steel,2023.0,11593307.0,11593307.0,0.0,0.0,0.0
Austria,25 Production or processing of ferrous metals,2015.0,187505.0,187505.0,0.0,0.0,0.0
Austria,25 Production or processing of ferrous metals,2016.0,183477.0,183477.0,0.0,0.0,0.0
Austria,25 Production or processing of ferrous metals,2017.0,207027.0,207027.0,0.0,0.0,0.0
Austria,25 Production or processing of ferrous metals,2018.0,198358.0,198358.0,0.0,0.0,0.0
Austria,25 Production or processing of ferrous metals,2019.0,178249.0,178249.0,0.0,0.0,0.0
Austria,25 Production or processing of ferrous metals,2020.0,147475.0,147475.0,0.0,0.0,0.0
Austria,25 Production or processing of ferrous metals,2021.0,177255.0,177255.0,0.0,0.0,0.0
Austria,25 Production or processing of ferrous metals,2022.0,175641.0,175641.0,0.0,0.0,0.0
Austria,25 Production or processing of ferrous metals,2023.0,165313.0,165313.0,0.0,0.0,0.0
Austria,27 Production of secondary aluminium,2015.0,59938.0,59938.0,0.0,0.0,0.0
Austria,27 Production of secondary aluminium,2016.0,63266.0,63266.0,0.0,0.0,0.0
Austria,27 Production of secondary aluminium,2017.0,69453.0,69453.0,0.0,0.0,0.0
Austria,27 Production of secondary aluminium,2018.0,70395.0,70395.0,0.0,0.0,0.0
Austria,27 Production of secondary aluminium,2019.0,73385.0,73385.0,0.0,0.0,0.0
Austria,27 Production of secondary aluminium,2020.0,64595.0,64595.0,0.0,0.0,0.0
Austria,27 Production of secondary aluminium,2021.0,74133.0,74133.0,0.0,0.0,0.0
Austria,27 Production of secondary aluminium,2022.0,69443.0,69443.0,0.0,0.0,0.0
Austria,27 Production of secondary aluminium,2023.0,62860.0,62860.0,0.0,0.0,0.0
Austria,28 Production or processing of non-ferrous metals,2015.0,55797.0,55797.0,0.0,0.0,0.0
Austria,28 Production or processing of non-ferrous metals,2016.0,56793.0,56793.0,0.0,0.0,0.0
Austria,28 Production or processing of non-ferrous metals,2017.0,54899.0,54899.0,0.0,0.0,0.0
Austria,28 Production or processing of non-ferrous metals,2018.0,58151.0,58151.0,0.0,0.0,0.0
Austria,28 Production or processing of non-ferrous metals,2019.0,58929.0,58929.0,0.0,0.0,0.0
Austria,28 Production or processing of non-ferrous metals,2020.0,56542.0,56542.0,0.0,0.0,0.0
Austria,28 Production or processing of non-ferrous metals,2021.0,59931.0,59931.0,0.0,0.0,0.0
Austria,28 Production or processing of non-ferrous metals,2022.0,58648.0,58648.0,0.0,0.0,0.0
Austria,28 Production or processing of non-ferrous metals,2023.0,52776.0,52776.0,0.0,0.0,0.0
Austria,29 Production of cement clinker,2015.0,2533018.0,2533018.0,0.0,0.0,0.0
Austria,29 Production of cement clinker,2016.0,2587597.0,2587597.0,0.0,0.0,0.0
Austria,29 Production of cement clinker,2017.0,2561990.0,2561990.0,0.0,0.0,0.0
Austria,29 Production of cement clinker,2018.0,2730619.0,2730619.0,0.0,0.0,0.0
Austria,29 Production of cement clinker,2019.0,2653171.0,2653171.0,0.0,0.0,0.0
Austria,29 Production of cement clinker,2020.0,2740245.0,2740245.0,0.0,0.0,0.0
Austria,29 Production of cement clinker,2021.0,2821151.0,2821151.0,0.0,0.0,0.0
Austria,29 Production of cement clinker,2022.0,2674026.0,2674026.0,0.0,0.0,0.0
Austria,29 Production of cement clinker,2023.0,2260010.0,2260010.0,0.0,0.0,0.0
Austria,"30 Production of lime, or calcination of dolomite/magnesite",2015.0,1121167.0,1121167.0,0.0,0.0,0.0
Austria,"30 Production of lime, or calcination of dolomite/magnesite",2016.0,1142968.0,1142968.0,0.0,0.0,0.0
Austria,"30 Production of lime, or calcination of dolomite/magnesite",2017.0,1179887.0,1179887.0,0.0,0.0,0.0
Austria,"30 Production of lime, or calcination of dolomite/magnesite",2018.0,1163038.0,1163038.0,0.0,0.0,0.0
Austria,"30 Production of lime, or calcination of dolomite/magnesite",2019.0,1105844.0,1105844.0,0.0,0.0,0.0
Austria,"30 Production of lime, or calcination of dolomite/magnesite",2020.0,1047108.0,1047108.0,0.0,0.0,0.0
Austria,"30 Production of lime, or calcination of dolomite/magnesite",2021.0,1258695.0,1258695.0,0.0,0.0,0.0
Austria,"30 Production of lime, or calcination of dolomite/magnesite",2022.0,1188927.0,1188927.0,0.0,0.0,0.0
Austria,"30 Production of lime, or calcination of dolomite/magnesite",2023.0,1194190.0,1194190.0,0.0,0.0,0.0
Austria,31 Manufacture of glass,2015.0,193224.0,193224.0,0.0,0.0,0.0
Austria,31 Manufacture of glass,2016.0,183679.0,183679.0,0.0,0.0,0.0
Austria,31 Manufacture of glass,2017.0,190013.0,190013.0,0.0,0.0,0.0
Austria,31 Manufacture of glass,2018.0,186958.0,186958.0,0.0,0.0,0.0
Austria,31 Manufacture of glass,2019.0,195259.0,195259.0,0.0,0.0,0.0
Austria,31 Manufacture of glass,2020.0,190899.0,190899.0,0.0,0.0,0.0
Austria,31 Manufacture of glass,2021.0,187855.0,187855.0,0.0,0.0,0.0
Austria,31 Manufacture of glass,2022.0,193942.0,193942.0,0.0,0.0,0.0
Austria,31 Manufacture of glass,2023.0,192441.0,192441.0,0.0,0.0,0.0
Austria,32 Manufacture of ceramics,2015.0,341800.0,341800.0,0.0,0.0,0.0
Austria,32 Manufacture of ceramics,2016.0,345982.0,345982.0,0.0,0.0,0.0
Austria,32 Manufacture of ceramics,2017.0,357113.0,357113.0,0.0,0.0,0.0
Austria,32 Manufacture of ceramics,2018.0,373511.0,373511.0,0.0,0.0,0.0
Austria,32 Manufacture of ceramics,2019.0,375454.0,375454.0,0.0,0.0,0.0
Austria,32 Manufacture of ceramics,2020.0,361856.0,361856.0,0.0,0.0,0.0
Austria,32 Manufacture of ceramics,2021.0,350780.0,350780.0,0.0,0.0,0.0
Austria,32 Manufacture of ceramics,2022.0,330846.0,330846.0,0.0,0.0,0.0
Austria,32 Manufacture of ceramics,2023.0,207446.0,207446.0,0.0,0.0,0.0
Austria,34 Production or processing of gypsum or plasterboard,2015.0,48752.0,48752.0,0.0,0.0,0.0
Austria,34 Production or processing of gypsum or plasterboard,2016.0,50561.0,50561.0,0.0,0.0,0.0
Austria,34 Production or processing of gypsum or plasterboard,2017.0,49672.0,49672.0,0.0,0.0,0.0
Austria,34 Production or processing of gypsum or plasterboard,2018.0,52014.0,52014.0,0.0,0.0,0.0
Austria,34 Production or processing of gypsum or plasterboard,2019.0,52425.0,52425.0,0.0,0.0,0.0
Austria,34 Production or processing of gypsum or plasterboard,2020.0,54123.0,54123.0,0.0,0.0,0.0
Austria,34 Production or processing of gypsum or plasterboard,2021.0,25941.0,25941.0,0.0,0.0,0.0
Austria,34 Production or processing of gypsum or plasterboard,2022.0,25825.0,25825.0,0.0,0.0,0.0
Austria,34 Production or processing of gypsum or plasterboard,2023.0,19933.0,19933.0,0.0,0.0,0.0
Austria,35 Production of pulp,2015.0,438474.0,438474.0,0.0,0.0,0.0
Austria,35 Production of pulp,2016.0,441307.0,441307.0,0.0,0.0,0.0
Austria,35 Production of pulp,2017.0,491698.0,491698.0,0.0,0.0,0.0
Austria,35 Production of pulp,2018.0,485166.0,485166.0,0.0,0.0,0.0
Austria,35 Production of pulp,2019.0,440127.0,440127.0,0.0,0.0,0.0
Austria,35 Production of pulp,2020.0,401311.0,401311.0,0.0,0.0,0.0
Austria,35 Production of pulp,2021.0,417269.0,417269.0,0.0,0.0,0.0
Austria,35 Production of pulp,2022.0,266626.0,266626.0,0.0,0.0,0.0
Austria,35 Production of pulp,2023.0,187002.0,187002.0,0.0,0.0,0.0
Austria,36 Production of paper or cardboard,2015.0,1179988.0,1179988.0,0.0,0.0,0.0
Austria,36 Production of paper or cardboard,2016.0,1127053.0,1127053.0,0.0,0.0,0.0
