country,sector,year,n_observations,mean_emissions,std_emissions,cv,p10,p25,p50,p75,p90,p90_p10_ratio,gini,min,max
Austria,10 Aviation,2015.0,2,1022489.0,0.0,0.0,1022489.0,1022489.0,1022489.0,1022489.0,1022489.0,1.0,0.0,1022489.0,1022489.0
Austria,10 Aviation,2016.0,2,1045372.0,0.0,0.0,1045372.0,1045372.0,1045372.0,1045372.0,1045372.0,1.0,0.0,1045372.0,1045372.0
Austria,10 Aviation,2017.0,2,849011.0,0.0,0.0,849011.0,849011.0,849011.0,849011.0,849011.0,1.0,0.0,849011.0,849011.0
Austria,10 Aviation,2018.0,2,1246921.0,0.0,0.0,1246921.0,1246921.0,1246921.0,1246921.0,1246921.0,1.0,0.0,1246921.0,1246921.0
Austria,10 Aviation,2019.0,2,3808809.0,0.0,0.0,3808809.0,3808809.0,3808809.0,3808809.0,3808809.0,1.0,0.0,3808809.0,3808809.0
Austria,10 Aviation,2020.0,3,821730.6666666666,556672.0104492012,0.6774385246048193,267359.0,616298.0,1197863.0,1215229.5,1225649.4,4.584283304470768,-0.3239404205973948,34733.0,1232596.0
Austria,10 Aviation,2021.0,3,1077056.6666666667,727071.4764763885,0.6750540607362551,352646.0,807792.5,1566370.0,1590977.5,1605742.0,4.553410502316771,-0.3231791167492477,49215.0,1615585.0
Austria,10 Aviation,2022.0,3,1974657.3333333333,1331374.5785568971,0.6742306911090551,647938.0,1480993.0,2869418.0,2915702.0,2943472.4,4.542830332531816,-0.322915998477598,92568.0,2961986.0
Austria,10 Aviation,2023.0,3,2139617.3333333335,1440079.758143123,0.6730548195268202,704237.8,1604713.0,3105505.0,3157465.5,3188641.8,4.527791322760578,-0.32254002221373335,103921.0,3209426.0
Austria,20 Combustion of fuels,2015.0,2,7507737.0,0.0,0.0,7507737.0,7507737.0,7507737.0,7507737.0,7507737.0,1.0,0.0,7507737.0,7507737.0
Austria,20 Combustion of fuels,2016.0,2,7136550.0,0.0,0.0,7136550.0,7136550.0,7136550.0,7136550.0,7136550.0,1.0,0.0,7136550.0,7136550.0
Austria,20 Combustion of fuels,2017.0,2,7795277.0,0.0,0.0,7795277.0,7795277.0,7795277.0,7795277.0,7795277.0,1.0,0.0,7795277.0,7795277.0
Austria,20 Combustion of fuels,2018.0,2,7099673.0,0.0,0.0,7099673.0,7099673.0,7099673.0,7099673.0,7099673.0,1.0,0.0,7099673.0,7099673.0
Austria,20 Combustion of fuels,2019.0,2,7318748.0,0.0,0.0,7318748.0,7318748.0,7318748.0,7318748.0,7318748.0,1.0,0.0,7318748.0,7318748.0
Austria,20 Combustion of fuels,2020.0,2,5920008.0,0.0,0.0,5920008.0,5920008.0,5920008.0,5920008.0,5920008.0,1.0,0.0,5920008.0,5920008.0
Austria,20 Combustion of fuels,2021.0,2,5764796.0,0.0,0.0,5764796.0,5764796.0,5764796.0,5764796.0,5764796.0,1.0,0.0,5764796.0,5764796.0
Austria,20 Combustion of fuels,2022.0,2,5526573.0,0.0,0.0,5526573.0,5526573.0,5526573.0,5526573.0,5526573.0,1.0,0.0,5526573.0,5526573.0
Austria,20 Combustion of fuels,2023.0,2,4084161.0,0.0,0.0,4084161.0,4084161.0,4084161.0,4084161.0,4084161.0,1.0,0.0,4084161.0,4084161.0
Austria,20-99 All stationary installations,2015.0,2,29459819.0,0.0,0.0,29459819.0,29459819.0,29459819.0,29459819.0,29459819.0,1.0,0.0,29459819.0,29459819.0
Austria,20-99 All stationary installations,2016.0,2,28967793.0,0.0,0.0,28967793.0,28967793.0,28967793.0,28967793.0,28967793.0,1.0,0.0,28967793.0,28967793.0
Austria,20-99 All stationary installations,2017.0,2,30529853.0,0.0,0.0,30529853.0,30529853.0,30529853.0,30529853.0,30529853.0,1.0,0.0,30529853.0,30529853.0
Austria,20-99 All stationary installations,2018.0,2,28380243.0,0.0,0.0,28380243.0,28380243.0,28380243.0,28380243.0,28380243.0,1.0,0.0,28380243.0,28380243.0
Austria,20-99 All stationary installations,2019.0,2,29540448.0,0.0,0.0,29540448.0,29540448.0,29540448.0,29540448.0,29540448.0,1.0,0.0,29540448.0,29540448.0
Austria,20-99 All stationary installations,2020.0,2,27013522.0,0.0,0.0,27013522.0,27013522.0,27013522.0,27013522.0,27013522.0,1.0,0.0,27013522.0,27013522.0
Austria,20-99 All stationary installations,2021.0,2,28704509.0,0.0,0.0,28704509.0,28704509.0,28704509.0,28704509.0,28704509.0,1.0,0.0,28704509.0,28704509.0
Austria,20-99 All stationary installations,2022.0,2,26626257.0,0.0,0.0,26626257.0,26626257.0,26626257.0,26626257.0,26626257.0,1.0,0.0,26626257.0,26626257.0
Austria,20-99 All stationary installations,2023.0,2,24413630.0,0.0,0.0,24413630.0,24413630.0,24413630.0,24413630.0,24413630.0,1.0,0.0,24413630.0,24413630.0
Austria,21  Refining of mineral oil,2015.0,2,2804050.0,0.0,0.0,2804050.0,2804050.0,2804050.0,2804050.0,2804050.0,1.0,0.0,2804050.0,2804050.0
Austria,21  Refining of mineral oil,2016.0,2,2784461.0,0.0,0.0,2784461.0,2784461.0,2784461.0,2784461.0,2784461.0,1.0,0.0,2784461.0,2784461.0
Austria,21  Refining of mineral oil,2017.0,2,2738604.0,0.0,0.0,2738604.0,2738604.0,2738604.0,2738604.0,2738604.0,1.0,0.0,2738604.0,2738604.0
Austria,21  Refining of mineral oil,2018.0,2,2824369.0,0.0,0.0,2824369.0,2824369.0,2824369.0,2824369.0,2824369.0,1.0,0.0,2824369.0,2824369.0
Austria,21  Refining of mineral oil,2019.0,2,2791040.0,0.0,0.0,2791040.0,2791040.0,2791040.0,2791040.0,2791040.0,1.0,0.0,2791040.0,2791040.0
Austria,21  Refining of mineral oil,2020.0,2,2731772.0,0.0,0.0,2731772.0,2731772.0,2731772.0,2731772.0,2731772.0,1.0,0.0,2731772.0,2731772.0
Austria,21  Refining of mineral oil,2021.0,2,2749644.0,0.0,0.0,2749644.0,2749644.0,2749644.0,2749644.0,2749644.0,1.0,0.0,2749644.0,2749644.0
Austria,21  Refining of mineral oil,2022.0,2,2255065.0,0.0,0.0,2255065.0,2255065.0,2255065.0,2255065.0,2255065.0,1.0,0.0,2255065.0,2255065.0
Austria,21  Refining of mineral oil,2023.0,2,2579589.0,0.0,0.0,2579589.0,2579589.0,2579589.0,2579589.0,2579589.0,1.0,0.0,2579589.0,2579589.0
Austria,21-99 All industrial installations (excl. combustion),2015.0,2,21952082.0,0.0,0.0,21952082.0,21952082.0,21952082.0,21952082.0,21952082.0,1.0,0.0,21952082.0,21952082.0
Austria,21-99 All industrial installations (excl. combustion),2016.0,2,21831243.0,0.0,0.0,21831243.0,21831243.0,21831243.0,21831243.0,21831243.0,1.0,0.0,21831243.0,21831243.0
Austria,21-99 All industrial installations (excl. combustion),2017.0,2,22734576.0,0.0,0.0,22734576.0,22734576.0,22734576.0,22734576.0,22734576.0,1.0,0.0,22734576.0,22734576.0
Austria,21-99 All industrial installations (excl. combustion),2018.0,2,21280570.0,0.0,0.0,21280570.0,21280570.0,21280570.0,21280570.0,21280570.0,1.0,0.0,21280570.0,21280570.0
Austria,21-99 All industrial installations (excl. combustion),2019.0,2,22221700.0,0.0,0.0,22221700.0,22221700.0,22221700.0,22221700.0,22221700.0,1.0,0.0,22221700.0,22221700.0
Austria,21-99 All industrial installations (excl. combustion),2020.0,2,21093514.0,0.0,0.0,21093514.0,21093514.0,21093514.0,21093514.0,21093514.0,1.0,0.0,21093514.0,21093514.0
Austria,21-99 All industrial installations (excl. combustion),2021.0,2,22939713.0,0.0,0.0,22939713.0,22939713.0,22939713.0,22939713.0,22939713.0,1.0,0.0,22939713.0,22939713.0
Austria,21-99 All industrial installations (excl. combustion),2022.0,2,21099684.0,0.0,0.0,21099684.0,21099684.0,21099684.0,21099684.0,21099684.0,1.0,0.0,21099684.0,21099684.0
Austria,21-99 All industrial installations (excl. combustion),2023.0,2,20329469.0,0.0,0.0,20329469.0,20329469.0,20329469.0,20329469.0,20329469.0,1.0,0.0,20329469.0,20329469.0
Austria,24  Production of pig iron or steel,2015.0,2,11870296.0,0.0,0.0,11870296.0,11870296.0,11870296.0,11870296.0,11870296.0,1.0,0.0,11870296.0,11870296.0
Austria,24  Production of pig iron or steel,2016.0,2,11615716.0,0.0,0.0,11615716.0,11615716.0,11615716.0,11615716.0,11615716.0,1.0,0.0,11615716.0,11615716.0
Austria,24  Production of pig iron or steel,2017.0,2,12483149.0,0.0,0.0,12483149.0,12483149.0,12483149.0,12483149.0,12483149.0,1.0,0.0,12483149.0,12483149.0
Austria,24  Production of pig iron or steel,2018.0,2,10931695.0,0.0,0.0,10931695.0,10931695.0,10931695.0,10931695.0,10931695.0,1.0,0.0,10931695.0,10931695.0
Austria,24  Production of pig iron or steel,2019.0,2,11852236.0,0.0,0.0,11852236.0,11852236.0,11852236.0,11852236.0,11852236.0,1.0,0.0,11852236.0,11852236.0
Austria,24  Production of pig iron or steel,2020.0,2,10975189.0,0.0,0.0,10975189.0,10975189.0,10975189.0,10975189.0,10975189.0,1.0,0.0,10975189.0,10975189.0
Austria,24  Production of pig iron or steel,2021.0,2,12552097.0,0.0,0.0,12552097.0,12552097.0,12552097.0,12552097.0,12552097.0,1.0,0.0,12552097.0,12552097.0
Austria,24  Production of pig iron or steel,2022.0,2,11851704.0,0.0,0.0,11851704.0,11851704.0,11851704.0,11851704.0,11851704.0,1.0,0.0,11851704.0,11851704.0
Austria,24  Production of pig iron or steel,2023.0,2,11593307.0,0.0,0.0,11593307.0,11593307.0,11593307.0,11593307.0,11593307.0,1.0,0.0,11593307.0,11593307.0
Austria,25 Production or processing of ferrous metals,2015.0,2,187505.0,0.0,0.0,187505.0,187505.0,187505.0,187505.0,187505.0,1.0,0.0,187505.0,187505.0
Austria,25 Production or processing of ferrous metals,2016.0,2,183477.0,0.0,0.0,183477.0,183477.0,183477.0,183477.0,183477.0,1.0,0.0,183477.0,183477.0
Austria,25 Production or processing of ferrous metals,2017.0,2,207027.0,0.0,0.0,207027.0,207027.0,207027.0,207027.0,207027.0,1.0,0.0,207027.0,207027.0
Austria,25 Production or processing of ferrous metals,2018.0,2,198358.0,0.0,0.0,198358.0,198358.0,198358.0,198358.0,198358.0,1.0,0.0,198358.0,198358.0
Austria,25 Production or processing of ferrous metals,2019.0,2,178249.0,0.0,0.0,178249.0,178249.0,178249.0,178249.0,178249.0,1.0,0.0,178249.0,178249.0
Austria,25 Production or processing of ferrous metals,2020.0,2,147475.0,0.0,0.0,147475.0,147475.0,147475.0,147475.0,147475.0,1.0,0.0,147475.0,147475.0
Austria,25 Production or processing of ferrous metals,2021.0,2,177255.0,0.0,0.0,177255.0,177255.0,177255.0,177255.0,177255.0,1.0,0.0,177255.0,177255.0
Austria,25 Production or processing of ferrous metals,2022.0,2,175641.0,0.0,0.0,175641.0,175641.0,175641.0,175641.0,175641.0,1.0,0.0,175641.0,175641.0
Austria,25 Production or processing of ferrous metals,2023.0,2,165313.0,0.0,0.0,165313.0,165313.0,165313.0,165313.0,165313.0,1.0,0.0,165313.0,165313.0
Austria,27 Production of secondary aluminium,2015.0,2,59938.0,0.0,0.0,59938.0,59938.0,59938.0,59938.0,59938.0,1.0,0.0,59938.0,59938.0
Austria,27 Production of secondary aluminium,2016.0,2,63266.0,0.0,0.0,63266.0,63266.0,63266.0,63266.0,63266.0,1.0,0.0,63266.0,63266.0
Austria,27 Production of secondary aluminium,2017.0,2,69453.0,0.0,0.0,69453.0,69453.0,69453.0,69453.0,69453.0,1.0,0.0,69453.0,69453.0
Austria,27 Production of secondary aluminium,2018.0,2,70395.0,0.0,0.0,70395.0,70395.0,70395.0,70395.0,70395.0,1.0,0.0,70395.0,70395.0
Austria,27 Production of secondary aluminium,2019.0,2,73385.0,0.0,0.0,73385.0,73385.0,73385.0,73385.0,73385.0,1.0,0.0,73385.0,73385.0
Austria,27 Production of secondary aluminium,2020.0,2,64595.0,0.0,0.0,64595.0,64595.0,64595.0,64595.0,64595.0,1.0,0.0,64595.0,64595.0
Austria,27 Production of secondary aluminium,2021.0,2,74133.0,0.0,0.0,74133.0,74133.0,74133.0,74133.0,74133.0,1.0,0.0,74133.0,74133.0
Austria,27 Production of secondary aluminium,2022.0,2,69443.0,0.0,0.0,69443.0,69443.0,69443.0,69443.0,69443.0,1.0,0.0,69443.0,69443.0
Austria,27 Production of secondary aluminium,2023.0,2,62860.0,0.0,0.0,62860.0,62860.0,62860.0,62860.0,62860.0,1.0,0.0,62860.0,62860.0
Austria,28 Production or processing of non-ferrous metals,2015.0,2,55797.0,0.0,0.0,55797.0,55797.0,55797.0,55797.0,55797.0,1.0,0.0,55797.0,55797.0
Austria,28 Production or processing of non-ferrous metals,2016.0,2,56793.0,0.0,0.0,56793.0,56793.0,56793.0,56793.0,56793.0,1.0,0.0,56793.0,56793.0
Austria,28 Production or processing of non-ferrous metals,2017.0,2,54899.0,0.0,0.0,54899.0,54899.0,54899.0,54899.0,54899.0,1.0,0.0,54899.0,54899.0
Austria,28 Production or processing of non-ferrous metals,2018.0,2,58151.0,0.0,0.0,58151.0,58151.0,58151.0,58151.0,58151.0,1.0,0.0,58151.0,58151.0
Austria,28 Production or processing of non-ferrous metals,2019.0,2,58929.0,0.0,0.0,58929.0,58929.0,58929.0,58929.0,58929.0,1.0,0.0,58929.0,58929.0
Austria,28 Production or processing of non-ferrous metals,2020.0,2,56542.0,0.0,0.0,56542.0,56542.0,56542.0,56542.0,56542.0,1.0,0.0,56542.0,56542.0
Austria,28 Production or processing of non-ferrous metals,2021.0,2,59931.0,0.0,0.0,59931.0,59931.0,59931.0,59931.0,59931.0,1.0,0.0,59931.0,59931.0
Austria,28 Production or processing of non-ferrous metals,2022.0,2,58648.0,0.0,0.0,58648.0,58648.0,58648.0,58648.0,58648.0,1.0,0.0,58648.0,58648.0
Austria,28 Production or processing of non-ferrous metals,2023.0,2,52776.0,0.0,0.0,52776.0,52776.0,52776.0,52776.0,52776.0,1.0,0.0,52776.0,52776.0
Austria,29 Production of cement clinker,2015.0,2,2533018.0,0.0,0.0,2533018.0,2533018.0,2533018.0,2533018.0,2533018.0,1.0,0.0,2533018.0,2533018.0
