nkey,emis_t,n_install,nace,example_eutl,n_contracts,sb_rate,cpv,example_proc,log_emis
3M BELGIUM,13946.2,1,20,3M Belgium,70,0.18571428571428572,33,3M Belgium,9.54296234870781
3M FRANCE,6261.625,1,23,3M FRANCE,846,0.18321513002364065,33,3M France,8.742195015072411
A S NORSKE SHELL,152284.55555555556,2,6.,A/S Norske Shell,6,0.0,91,A/S Norske Shell,11.933506125701422
A S OLAINFARM,10019.444444444445,1,21,"A/S ""Olainfarm""",105,0.009523809523809525,33,A/S „Olainfarm”,9.21228292843552
A2A AMBIENTE S P A,32785.555555555555,3,35,A2A AMBIENTE S.P.A.,38,0.631578947368421,90,A2A Ambiente S.p.A.,10.397743317972953
AANNEMINGEN VAN WELLEN,5162.833333333334,2,23,Aannemingen Van Wellen,13,0.23076923076923078,45,Aannemingen Van Wellen SA,8.549240803385013
ABBOTT LABORATORIES,79.57142857142857,1,51,Abbott Laboratories,555,0.1873873873873874,33,Abbott Laboratories; SA,4.376655090871971
ABBVIE,25677.222222222223,1,21,AbbVie Srl,442,0.4502262443438914,33,Abbvie Ltd,10.153359583036638
ABBVIE DEUTSCHLAND,24635.5,1,35,AbbVie Deutschland GmbH & Co. KG,164,0.7073170731707317,33,AbbVie Deutschland GmbH & Co. KG,10.11194377109846
ABELAG AVIATION,6482.5,1,51,ABELAG AVIATION,5,0.2,60,Abelag Aviation NV,8.776861517412819
ACADEMISCH ZIEKENHUIS MAASTRICHT,11414.333333333334,1,,Academisch Ziekenhuis Maastricht,13,0.38461538461538464,85,Academisch Ziekenhuis Maastricht,9.34262515457187
ACEITES DEL SUR COOSUR S A,5552.888888888889,1,10,"Aceites del Sur - Coosur, S.A.",8,0.0,15,Aceites del Sur - Coosur; S.A.,8.622073591837186
ACOME,2252.625,1,27,ACOME,14,0.0,32,Acome,7.719851481838435
ADAM OPEL,10352.5,1,35,Adam Opel AG,71,0.1267605633802817,34,Adam Opel AG,9.244983315419722
ADOLF W RTH,2775.3333333333335,1,51,Adolf Würth GmbH & Co KG,214,0.18691588785046728,44,Adolf Würth GmbH & Co.KG,7.928526139086811
ADVEN,170765.1888888889,19,35,Adven Oy,17,0.29411764705882354,79,Adven Oy,12.04804472743815
AER LINGUS,634503.3333333334,1,51,Aer Lingus Limited,12,0.3333333333333333,60,Aer Lingus,13.36059781960321
AERO VODOCHODY AEROSPACE A S,4777.1,1,30,AERO Vodochody AEROSPACE a.s.,20,0.7,50,Aero Vodochody Aerospace a.s.,8.471588946811217
AERODATA,28.0,1,51,Aerodata AG,27,0.5555555555555556,34,Aerodata,3.332204510175204
AEROWEST,6871.4,1,51,Aerowest GmbH,12,0.16666666666666666,71,Aerowest GmbH,8.835123149025737
AFF RSVERKEN KARLSKRONA,1682.232142857143,4,35,Affärsverken Karlskrona AB,6,1.0,64,Affärsverken Karlskrona AB,7.427876846976952
AGC GLASS EUROPE,498397.56666666665,3,23,AGC GLASS EUROPE,4,0.5,38,AGC Glass Europe,13.119153364153467
AGESP ENERGIA,15291.0,1,,AGESP ENERGIA SRL,4,0.0,91,AGESP energia SRL,9.63501969900815
AGFA GEVAERT,156351.76388888888,3,20,Agfa-Gevaert,79,0.35443037974683544,33,Agfa Gevaert Limited,11.959863644490971
AGGREGATE INDUSTRIES UK,44073.333333333336,8,23,Aggregate Industries UK Limited,197,0.01015228426395939,45,Aggregate Industries UK Ltd,10.69361019221946
AGUSTAWESTLAND S P A,89.33333333333333,1,51,AgustaWestland S.P.A,16,0.5,35,AgustaWestland S.p.A.,4.4923746918427465
